formula,T,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char
CaMnO3,300,3,0.663325,0.614463,0.600984,0.600078,0.600002,8,25,17,13.8,6.96,8,7,87,80,64,27.6,87,15.9994,54.938,38.9386,28.6028,15.1241,15.9994,54.8,1519,1464.2,559.68,605.856,54.8,2,16,14,11.4,5.52,16,2,4,2,2.8,0.96,2,66,176,110,102.6,43.92,66,1,3.44,2.44,2.574,1.0392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,37.77,28.665,15.1145,9.06219,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.6,100.32,12,2,2.4,1,0,True,0.774266,0.166696
CaMnO3,400,3,0.663325,0.614463,0.600984,0.600078,0.600002,8,25,17,13.8,6.96,8,7,87,80,64,27.6,87,15.9994,54.938,38.9386,28.6028,15.1241,15.9994,54.8,1519,1464.2,559.68,605.856,54.8,2,16,14,11.4,5.52,16,2,4,2,2.8,0.96,2,66,176,110,102.6,43.92,66,1,3.44,2.44,2.574,1.0392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,37.77,28.665,15.1145,9.06219,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.6,100.32,12,2,2.4,1,0,True,0.774266,0.166696
CaMnO3,700,3,0.663325,0.614463,0.600984,0.600078,0.600002,8,25,17,13.8,6.96,8,7,87,80,64,27.6,87,15.9994,54.938,38.9386,28.6028,15.1241,15.9994,54.8,1519,1464.2,559.68,605.856,54.8,2,16,14,11.4,5.52,16,2,4,2,2.8,0.96,2,66,176,110,102.6,43.92,66,1,3.44,2.44,2.574,1.0392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,37.77,28.665,15.1145,9.06219,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.6,100.32,12,2,2.4,1,0,True,0.774266,0.166696
CaMnO3,1000,3,0.663325,0.614463,0.600984,0.600078,0.600002,8,25,17,13.8,6.96,8,7,87,80,64,27.6,87,15.9994,54.938,38.9386,28.6028,15.1241,15.9994,54.8,1519,1464.2,559.68,605.856,54.8,2,16,14,11.4,5.52,16,2,4,2,2.8,0.96,2,66,176,110,102.6,43.92,66,1,3.44,2.44,2.574,1.0392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,37.77,28.665,15.1145,9.06219,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.6,100.32,12,2,2.4,1,0,True,0.774266,0.166696
Ca0.98La0.02MnO3,300,4,0.662142,0.614048,0.600937,0.600073,0.600002,8,57,49,13.948,7.1376,8,7,87,80,64.024,27.5712,87,15.9994,138.905,122.906,28.9982,15.5985,15.9994,54.8,1519,1464.2,559.992,606.23,54.8,2,16,14,11.404,5.5152,16,2,6,4,2.808,0.9696,2,66,207,141,102.724,44.0688,66,1,3.44,2.44,2.5744,1.03872,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1.004,1.5984,0,0,0,0,0,0,0,2,7,5,5.404,1.3536,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.036,1.64931,0,0,0,0,0,0,0,0,9,9,2.236,1.15971,2,9.105,37.77,28.665,15.111,9.05661,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.476,100.171,12,2,2.4,1.004,0,False,0.774266,0.16661
Ca0.98La0.02MnO3,400,4,0.662142,0.614048,0.600937,0.600073,0.600002,8,57,49,13.948,7.1376,8,7,87,80,64.024,27.5712,87,15.9994,138.905,122.906,28.9982,15.5985,15.9994,54.8,1519,1464.2,559.992,606.23,54.8,2,16,14,11.404,5.5152,16,2,6,4,2.808,0.9696,2,66,207,141,102.724,44.0688,66,1,3.44,2.44,2.5744,1.03872,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1.004,1.5984,0,0,0,0,0,0,0,2,7,5,5.404,1.3536,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.036,1.64931,0,0,0,0,0,0,0,0,9,9,2.236,1.15971,2,9.105,37.77,28.665,15.111,9.05661,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.476,100.171,12,2,2.4,1.004,0,False,0.774266,0.16661
Ca0.98La0.02MnO3,700,4,0.662142,0.614048,0.600937,0.600073,0.600002,8,57,49,13.948,7.1376,8,7,87,80,64.024,27.5712,87,15.9994,138.905,122.906,28.9982,15.5985,15.9994,54.8,1519,1464.2,559.992,606.23,54.8,2,16,14,11.404,5.5152,16,2,6,4,2.808,0.9696,2,66,207,141,102.724,44.0688,66,1,3.44,2.44,2.5744,1.03872,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1.004,1.5984,0,0,0,0,0,0,0,2,7,5,5.404,1.3536,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.036,1.64931,0,0,0,0,0,0,0,0,9,9,2.236,1.15971,2,9.105,37.77,28.665,15.111,9.05661,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.476,100.171,12,2,2.4,1.004,0,False,0.774266,0.16661
Ca0.98La0.02MnO3,1000,4,0.662142,0.614048,0.600937,0.600073,0.600002,8,57,49,13.948,7.1376,8,7,87,80,64.024,27.5712,87,15.9994,138.905,122.906,28.9982,15.5985,15.9994,54.8,1519,1464.2,559.992,606.23,54.8,2,16,14,11.404,5.5152,16,2,6,4,2.808,0.9696,2,66,207,141,102.724,44.0688,66,1,3.44,2.44,2.5744,1.03872,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1.004,1.5984,0,0,0,0,0,0,0,2,7,5,5.404,1.3536,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.036,1.64931,0,0,0,0,0,0,0,0,9,9,2.236,1.15971,2,9.105,37.77,28.665,15.111,9.05661,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.476,100.171,12,2,2.4,1.004,0,False,0.774266,0.16661
Ca0.96La0.04MnO3,300,4,0.661005,0.613649,0.600894,0.600069,0.600002,8,57,49,14.096,7.3152,8,7,87,80,64.048,27.5424,87,15.9994,138.905,122.906,29.3935,16.0729,15.9994,54.8,1519,1464.2,560.304,606.605,54.8,2,16,14,11.408,5.5104,16,2,6,4,2.816,0.9792,2,66,207,141,102.848,44.2176,66,1,3.44,2.44,2.5748,1.03824,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1.008,1.5968,0,0,0,0,0,0,0,2,7,5,5.408,1.3472,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.072,1.69805,0,0,0,0,0,0,0,0,9,9,2.272,1.19885,2,9.105,37.77,28.665,15.1075,9.05103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.352,100.022,12,2,2.4,1.008,0,False,0.774266,0.166524
Ca0.96La0.04MnO3,400,4,0.661005,0.613649,0.600894,0.600069,0.600002,8,57,49,14.096,7.3152,8,7,87,80,64.048,27.5424,87,15.9994,138.905,122.906,29.3935,16.0729,15.9994,54.8,1519,1464.2,560.304,606.605,54.8,2,16,14,11.408,5.5104,16,2,6,4,2.816,0.9792,2,66,207,141,102.848,44.2176,66,1,3.44,2.44,2.5748,1.03824,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1.008,1.5968,0,0,0,0,0,0,0,2,7,5,5.408,1.3472,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,9,9,1.072,1.69805,0,0,0,0,0,0,0,0,9,9,2.272,1.19885,2,9.105,37.77,28.665,15.1075,9.05103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20241e-05,9.92386e-05,0,12,225,213,95.352,100.022,12,2,2.4,1.008,0,False,0.774266,0.166524
