# Outliers,Original Index,Temperature (K),Electrical Resistivity (Ohm m),Seebeck Coefficient (V/K),Thermal Conductivity (W/(m K)),Figure of Merit,Thermopower (V/K),Thermal Conductivity x Figure of Merit (W/m K),Power Factor (W/(K^2 m)),Formula,Series,Series Index,Family,Electrical Conductivity (S/m),Preparative Route,Final Form,Authors,DOI,Comments,Cell Volume (A^3),Formula Units per Cell,Atoms per Formula Unit,Total Atoms Per Unit Cell,Average Atomic Volume,Author of Unit Cell,Unit Cell DOI,ICSD ID,Electronic over Total Thermal Conductivity,Space Group,Number of Symmetry Elements
outliers,orig_index,T,rho,seebeck,kappa,zT,seebeck_abs,kappa_zT,power_factor,formula,series,x,family,sigma,preparative_route,final_form,authors,doi,comments,cell_volume,formula_units_per_cell,atoms_per_formula_unit,total_atoms_per_unit_cell,average_atomic_volume,author_of_unit_cell,unit_cell_doi,icsd_id,kel/ktot,space_group,symmetry_elements
,0,300,0.5,-0.000462967,,,0.000462967,0.0001286030659,0.0000004286768862,CaMnO3,Ca1-xLaxMnO3,0,CaMnO3,2,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,1,400,0.5,-0.000462967,,,0.000462967,0.0001714707545,0.0000004286768862,CaMnO3,Ca1-xLaxMnO3,0,CaMnO3,2,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,2,700,0.02417491884,-0.000470651,,,0.000470651,0.00641403,0.0000091629,CaMnO3,Ca1-xLaxMnO3,0,CaMnO3,41.36518541,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,3,1000,0.001774898663,-0.000279829,,,0.000279829,0.0441176,0.0000441176,CaMnO3,Ca1-xLaxMnO3,0,CaMnO3,563.4124477,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,206.97,4,5,20,10.3485,Poeppelmeier,http://dx.doi.org/10.1016/0022-4596(82)90292-4,35218,,62,8
,4,300,0.0004611461326,-0.000201708,,,0.000201708,0.02646847564,0.00008822825215,Ca0.98La0.02MnO3,Ca1-xLaxMnO3,0.02,CaMnO3,2168.51,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,207.74,4,5,20,10.387,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82210,,62,8
,5,400,0.0004611461326,-0.000201708,,,0.000201708,0.03529130086,0.00008822825215,Ca0.98La0.02MnO3,Ca1-xLaxMnO3,0.02,CaMnO3,2168.51,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,207.74,4,5,20,10.387,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82210,,62,8
,6,700,0.0006504911208,-0.00022412,,,0.00022412,0.05405276253,0.00007721823219,Ca0.98La0.02MnO3,Ca1-xLaxMnO3,0.02,CaMnO3,1537.3,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,207.74,4,5,20,10.387,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82210,,62,8
,7,1000,0.0004108446555,-0.000190181,,,0.000190181,0.08803525195,0.00008803525195,Ca0.98La0.02MnO3,Ca1-xLaxMnO3,0.02,CaMnO3,2434.01,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,207.74,4,5,20,10.387,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82210,,62,8
,8,300,0.0001525550686,-0.000123586,,,0.000123586,0.03003538238,0.0001001179413,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,0.04,CaMnO3,6555.01,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,,62,8
,9,400,0.0001525550686,-0.000123586,,,0.000123586,0.04004717651,0.0001001179413,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,0.04,CaMnO3,6555.01,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,,62,8
,10,700,0.0002167828984,-0.000173533,,,0.000173533,0.09723825825,0.0001389117975,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,0.04,CaMnO3,4612.91,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,,62,8
,11,1000,0.0002221619916,-0.000160085,,,0.000160085,0.1153536977,0.0001153536977,Ca0.96La0.04MnO3,Ca1-xLaxMnO3,0.04,CaMnO3,4501.22,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,208.49,4,5,20,10.4245,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82209,,62,8
,12,300,0.0001216710793,-0.000103735,,,0.000103735,0.02653288758,0.00008844295859,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,0.06,CaMnO3,8218.88,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,,62,8
,13,400,0.0001216710793,-0.000103735,,,0.000103735,0.03537718343,0.00008844295859,Ca0.94La0.06MnO3,Ca1-xLaxMnO3,0.06,CaMnO3,8218.88,Solid state reaction,polycrystalline,Lan2009JMST,http://www.jmst.org/EN/Y2009/V25/I04/0535,,209.24,4,5,20,10.462,Taguchi,http://dx.doi.org/10.1006/jssc.1996.0250,82208,,62,8
