# This list was copied from table 1 in https://onlinelibrary.wiley.com/doi/full/10.1002/advs.201900808 and extended with additional attributes.
name,abbreviation,year,url,contact,overview,ref,data_source,size,size_date
Cambridge Structural Database,CSD,1965,https://ccdc.cam.ac.uk/solutions/csd-system,Colin Groom,"Search, visualization and analysis features for structural chemists. Includes 2D/3D search, geometry analysis tools, intermolecular interaction analysis, connectivity via the CSD Python API.",https://dx.doi.org/10.1107/S2052520616003954,experiment,1069442,2020-07
Inorganic Crystal Structure Database,ICSD,1978,https://icsd.fiz-karlsruhe.de,"Günter Bergerhoff (University of Bonn), I.D.Brown (University of McMaster, Canada)","World's largest database for completely identified, quality-checked inorganic crystal structures. First records date back to 1913.",https://icsd.products.fiz-karlsruhe.de/about/about-icsd,experiment,210000,2020-01
Granta Design,GD,1995,https://grantadesign.com,Mike Ashby and David Cebon,"R&D organization offering data, tools and expertise for materials design.",118,experiment,NA,NA
Automatic-FLOW for materials discovery,AFLOW,2003,http://aflow.org,"Stefano Curtarolo, Duke University",Computational data consisting of 2 118 033 material compounds and 281 698 389 calculated properties with focus on inorganic crystal structures. Incorporates multiple computational modules for automating high‐throughput first principles calculations.,"83, 91",simulation,3275347,2020-07
Crystallography Open Database,COD,2004,https://crystallography.net,,"Open‐access collection of crystal structures of organic, inorganic, metal–organic compounds and minerals, excluding biopolymers.","95, 96",experiment,459746,2020-07
Materials Project,MP,2006,https://materialsproject.org,"Kristin Persson, LBNL","Online platform for materials exploration containing data of 86 680 inorganic compounds, 21 954 molecules and 530 243 nanoporous materials. Develops various open‐source software libraries, including pymatgen, custodian, FireWorks, and atomate.","84, 104",simulation,131613,2020-07
Computational Materials Repository,CMR,2008,https://cmr.fysik.dtu.dk,"Kristian Thygesen and Karsten Jacobsen, DTU",Computational datasets from a diverse set of applications. Data creation and analysis with the Atomic Simulation Environment (ASE).,92-94,simulation,NA,NA
SpringerMaterials,SM,2009,https://materials.springer.com,Michael Klinge,"Curated data covering multiple material classes, property types, and applications. A set of advanced functionalities for visualizing and analyzing data provided through SpringerMaterials Interactive.",125,experiment,15038,2020-07
Materials Design,MD,2010,https://materialsdesign.com,"Clive M. Freeman, Erich Wimmer and Stephen J. Mumby","Software products and services for chemical, metallurgical, electronic, polymeric, and materials science research applications.",119-121,experiment,NA,NA
SUNCAT,SC,2012,https://suncat.stanford.edu,"Thomas Francisco Jaramillo, SLAC/Stanford University","Materials informatics center for atomic‐scale design of catalysts. Online tools and computational results for 112,157 surface reactions and barriers available at catalysis‐hub.org.","89, 113",simulation,NA,NA
Citrine Informatics,CI,2013,https://citrine.io,Bryce Meredig and Greg Mulholland,A materials informatics platform combining data infrastructure and AI. Open database and analytics platform for material and chemical information available at https://citrination.com.,"114, 115",simulation,NA,NA
Open Materials Database,OMD,2013,https://openmaterialsdb.se,"Rickard Armiento, Linköping University",Computational database primarily based on structures from the Crystallography Open Database. Data creation and analysis with High‐Throughput Toolkit (HTTK).,"111, 112",simulation,205264,2020-07
Open Quantum Materials Database,OQMD,2013,http://www.oqmd.org,"Chris Wolverton, Northwestern University","Database of DFT‐calculated thermodynamic and structural properties with focus on inorganic crystal structures. Contains 563,247 entries with support for full download and advanced usage through the qmpy python package.","90, 110",simulation,637644,2020-07
Novel Materials Discovery (CoE),NOMAD,2014,https://nomad‐coe.eu,"Matthias Scheffler, FHI/Max Planck Society","Provides storage for full input and output files of all important computational materials science codes, with multiple big‐data services built on top. Contains over 50,236,539 total energy calculations.","106, 107",simulation,50236539,2020-07
Exabyte.io,EXA,2014,https://exabyte.io,Timur Bazhirov,Cloud‐based modelling platform for materials informatics.,"116, 117",simulation,18982,2020-07
Materials Cloud,MC,2014,https://materialscloud.org,"Nicola Marzari, EPFL","Materials informatics platform for data‐driven high‐throughput quantum simulations. Supported by MARVEL NCCR, powered by the AiiDA‐infrastructure.",85,simulation,9978441,2020-07
Materials Data Facility,MDF,2016,https://materialsdatafacility.org,"Ben Blaiszik and Ian Foster, University of Chicago",Data publication network for computational and experimental datasets. Data exploration through the Forge python package.,"102, 103","simulation, experiment",NA,NA
Materials Platform for Data Science,MPDS,2016,https://mpds.io,Evgeny Blokhin,Online edition of the PAULING FILE with focus on curated experimental data for inorganic materials.,"122, 123",experiment,457968,2020-07
Khazana,KZ,2016,https://khazana.gatech.edu,"Rampi Ramprasad, Georgia Institute of Technology","Platform to store structure and property data created by atomistic simulations, and tools to design materials by learning from the data. Tools include Polymer Genome and AGNI.",99-101,simulation,NA,NA
High-Throughput Experimental Materials Database,HTEM,2017,https://htem.nrel.gov,"Caleb Phillips and Andriy Zakutayev, NREL","Properties of thin films synthesized using combinatorial methods. Contains 57 597 thin film samples, across a wide range of materials (oxides, nitrides, sulfide, intermetallics).","97, 98",experiment,140000,2018-04
MatNavi (NIMS Materials Database),MN,2017,https://mits.nims.go.jp,"Yibin Xu, NIMS","An integrated material database system comprising ten databases, four application systems and the NIMS Structural Datasheet Online.",105,simulation,NA,NA
Organic Materials Database,OMDB,2017,https://omdb.mathub.io,"Alexander Balatsky, Nordita","Open access electronic structure database for 3‐dimensional organic crystals. Contains approximately 24,000 materials.","108, 109",experiment,6461,2017-02
MaterialsZone,MZ,2018,https://materials.zone,Assaf Anderson and Barak Sela,Provides a notebook‐based materials informatics environment together with experimental data.,124,experiment,NA,NA
