material_id,formula,icsd_ids
mp-8042,ZrGeO4,[29262]
mp-8044,V2PC,"[181101, 181096, 29284, 181098, 181099, 181097, 181100]"
mp-8048,NdNi4B,[20882]
mp-8058,YAsO4,[24513]
mp-69,Sm,"[652632, 652637, 52482]"
mp-2468,ErHg,"[103245, 630672]"
mp-1100405,ScTeRh,[]
mp-7984,KOsF6,[27664]
mp-7988,Cs2O,[27919]
mp-799,V3S4,"[72921, 72920, 72922]"
mp-7030,LaSiNi,[78264]
mp-7032,HfMoP,[88151]
mp-7759,BaSn3,[189957]
mp-8000,SrSn(BO3)2,[28267]
mp-8013,KRuF6,[28692]
mp-8014,RbRuF6,[28693]
mp-8015,CsRuF6,[28694]
mp-8018,K2RhF6,[28779]
mp-8033,PuF3,[29013]
mp-6892,Na6Mg2C4SO16,"[158962, 249169]"
mp-8073,AsPd2,[26279]
mp-768523,La3Pt3O11,[]
mp-8081,Na2SnF6,"[68980, 23156]"
mp-8093,Ba2Cd,[30083]
mp-8094,Ba2Hg,"[30084, 615926]"
mp-11536,NpRh3,[105493]
mp-510098,EuAu5,[58452]
mp-866004,Er2InAg,[]
mp-1132,CdO,"[29289, 29291, 29292, 181294, 181735, 620205, 620204, 31055, 620202, 29290, 620206, 24802, 61554, 181057]"
mp-6015,LiSiNO,"[26411, 34106]"
mp-29754,SrLiN,[87414]
mp-7971,Ba4Li(SbO4)3,[202200]
mp-7015,CsCeS2,[73533]
mp-7972,RbLaO2,[27331]
mp-7973,RbNdO2,[27332]
mp-7976,RbGdO2,[27335]
mp-7974,RbSmO2,[27333]
mp-7977,CsSmO2,[27337]
mp-7979,K2PdF6,[27486]
mp-768240,BaY2F8,[]
mp-687081,YbCoO3,[172051]
mp-801028,Ba4Sb2O9,[]
mp-768383,SmBiO4,[]
mp-7684,Tl3AsSe3,"[603666, 15148]"
mp-10131,Zn3(Ni10B3)2,[44536]
mp-29331,KH3F4,[202107]
mp-765413,Li2AgF6,[]
mp-7858,MgUO4,[24725]
mp-6860,Na3AlP3NO9,"[78373, 75366]"
mp-7899,BaCdO2,[25555]
mp-7916,HfSiS,[25735]
mp-7917,HfGeSe,[25741]
mp-7918,HfGeS,[25742]
mp-7921,MgPdF6,[26163]
mp-7922,CaPdF6,[26164]
mp-7929,Rb2PtS2,[26259]
mp-793,Ca5Si3,"[93699, 42138]"
mp-7930,Zr3(Cu2Si)2,[26260]
mp-7935,USbTe,"[651647, 26274]"
mp-7936,LiNbS2,[26284]
mp-7937,NaNbS2,[26285]
mp-7939,NaNbSe2,[26287]
mp-7942,NaTiS2,[26305]
mp-7950,ThSeO,[26654]
mp-7951,ThSe2,"[652016, 26671]"
mp-7650,RbScO2,"[1270, 31960]"
mp-7956,Na3Sb,[26882]
mp-7958,KLaO2,[27001]
mp-700,GeSe,"[637852, 637863, 637866, 637853, 637854, 25831, 17006, 23953, 41738]"
mp-7959,KErO2,[27002]
mp-775865,Li2Ti3MnO8,[]
mp-7013,Ho2Be2SiO7,[73521]
mp-7028,YbOF,[75557]
mp-795,LiSi,"[167670, 78364, 160538, 83826]"
mp-7003,CePPd,[69672]
mp-2773,BeCo,"[150619, 616204, 616206, 58693]"
mp-565468,LiCaCrF6,[73985]
mp-578614,NaCrO2,"[182235, 108817, 24595]"
mp-1105252,Pr3Bi4Au3,[252324]
mp-35907,La5TlTe8,[]
mp-1207092,GdHSe,[]
mp-8504,Yb2TeO6,[62135]
mp-7879,Sr(AgGe)2,[25317]
mp-7880,Sr(SiAg)2,[25330]
mp-7881,Sr(CdGe)2,[25331]
mp-7882,Ba(AgSn)2,[25332]
mp-7886,Cs2RbYF6,[25366]
mp-7895,Rb2O2,"[25528, 180560]"
mp-7896,Cs2O2,[25529]
mp-6992,Eu(NiAs)2,[610437]
mp-7903,Cs2ZrF6,[25598]
mp-800,TmB2,"[615611, 44598, 615608]"
mp-690117,K(WO3)6,[]
mp-7688,Li2CdGeO4,[20031]
mp-1607,YbCu5,"[629449, 103149, 103148]"
mp-17753,Nd3RuO7,"[63084, 190762]"
mp-643409,Ba4Y(CuO3)3,[65549]
mp-20761,LaCoGe,"[106471, 85860]"
mp-864940,Mg2PtRh,[]
mp-9775,NaSrAs,[402448]
mp-1207079,SrH3Pd,[]
mp-984698,Ca3Pt2,[619512]
mp-7564,Nb3Te4,"[16606, 645534]"
mp-7566,InPO4,[16618]
mp-7571,KNbF6,[]
mp-7572,MgSO4,[16759]
mp-984788,Ba4Er(RuO4)3,[174186]
mp-984836,DyB4Ru,[613685]
mp-984872,CsPb2Cl5,[249888]
mvc-91,Mg(CrS2)2,[]
mp-7580,Hg3(SF)2,[16927]
mp-7829,MnNbSi,[24185]
mp-787,U3P4,"[25725, 648243, 648259]"
mp-7875,Ba(MgSi)2,[25311]
mp-7877,Sr(CuSi)2,[25313]
mp-7876,Ba(MgGe)2,[25312]
mp-7878,Ca(AgGe)2,[25316]
mp-790,LuPt3,"[104820, 642530]"
mp-768,TmAl3,"[58194, 609565]"
mp-797,DyPd3,"[103344, 106596, 630081, 656119, 103345, 630072, 600376]"
mp-702,CeHg,"[102180, 621334]"
mp-7038,TlPd2Se3,[78786]
mp-703682,GdMn2O5,[97046]
mp-703559,KSrAs(H4O3)4,[87465]
mp-7041,CaHgO2,[80717]
mp-851,ErPd,"[103279, 630924]"
mp-13926,Rb2NaYF6,[25369]
mp-1953,TiAl,"[290974, 290012, 290971, 609524, 609534, 290969, 107891, 604461, 99780, 290975, 99782, 58187, 609533, 191190, 181339, 290973, 187030]"
mp-564,TePd,"[42552, 659960, 648992, 649009, 42553]"
mp-10736,Ba3N,[77730]
mp-3040,TbCo3B2,"[246508, 613343, 44182, 87163, 246512, 246509, 246510, 246511]"
mp-1007755,HfAu,[611959]
mp-997167,NiAuO2,[]
mp-974038,Ni2W4C,[618587]
mp-722912,Hf3Zn3C,"[42936, 618069]"
mp-865017,Dy2ZnRu,[]
mp-639787,K3VO4,[108936]
mp-756156,Rb2ZrO3,[]
mp-1287,KS,"[73171, 43406]"
mp-1183182,AcMgZn2,[]
mp-7505,K2P2Pd,[15584]
mp-9634,Na3AgS2,[201800]
mp-674355,Co(NiS2)2,[]
mp-9666,K2NaGaP2,[300112]
mp-9672,K2NiP2,[300119]
mp-9673,K2NiAs2,[300120]
mp-983608,UGePt,[246606]
mp-9687,K2PAu,[300201]
mp-9694,Tm3(GePd)4,[300271]
mp-984055,Ca7(H6Cl)2,[420927]
mp-9702,Sr3BPO3,[401207]
mp-8499,Ho2Cr2C3,[62083]
mp-9712,Ba3BPO3,[402017]
mp-782050,Ba4PdO6,[]
mp-971678,Na3Ni2SbO6,[]
mp-984550,CsGaH4,[169712]
mp-7824,K2ReF6,[1528]
mp-984586,Nb4Co4Si7,"[624323, 624309]"
mp-755352,Li2HfO3,[]
mp-984605,Ca3SnH2,[165615]
mp-7557,Nb5SiSn2,[16499]
mp-984635,LiErSn,[603146]
mp-7558,TaGe2,"[637963, 16504, 637957]"
mp-7559,YNi4B,"[16515, 615076]"
mp-971830,U3Sb4Rh3,"[650262, 164407]"
mp-972256,Xe,[]
mp-6978,RbHoO2,[15160]
mp-756670,Eu2Pb2O7,[173951]
mp-984726,Dy(Al2Cu)4,[606899]
mp-7568,ThSb2,"[651663, 16656]"
mp-7569,KAsF6,"[38130, 16663]"
mp-757,Li3As,"[26878, 610783, 43987]"
mp-7573,Co(BW)2,[16776]
mp-973019,LiSm(CuP)2,[628285]
mp-782678,Na4WO4,[]
mp-6754,TmNi2B2C,"[79577, 56652, 164574]"
mp-10004,Mo3P,"[237706, 43238]"
mp-8393,Tl3SbS3,"[48133, 603664]"
mp-569048,MgBIr,[]
mp-23879,Ca(HO)2,"[64950, 202221, 191851, 202228, 64951, 202231, 34240, 43433, 202233, 15471, 202223, 202227, 202229, 202222, 202225, 202220, 202232, 202224, 202230, 51411, 34241, 202226]"
mp-1112965,Cs3ScF6,[]
mp-1024983,ErInNi4,[]
mp-19385,YMnO3,"[195447, 195446, 280589, 422987, 422985, 163216, 191978, 163217, 182286, 164406, 182285, 422984, 247620, 290276, 422988, 422983, 181183, 250880, 247621, 98061, 422986, 164405, 98060, 154127, 280590, 162200]"
mp-23147,Na4Al3Si3BrO12,"[71433, 417676, 68958]"
mp-2542,BeO,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]"
mp-765135,WOF4,[]
mp-23145,Na4Al3Si3ClO12,"[83324, 74537, 41189, 98814, 166827, 98808, 65004, 98820, 29443, 15336, 41188, 98813, 162491, 98818, 68426, 71432, 41190, 98812, 83323, 98815, 83325, 417689, 98816, 98807, 83326, 98819, 98811, 98809, 98817, 402574, 40129, 98810, 30263]"
mp-21892,Al2PbO4,"[33532, 80128]"
mp-1187800,Zn2CuRh,[]
mp-672645,TiSiRh,[108723]
mp-973529,LuB4Os,[614693]
mp-9371,ErF3,[81411]
mp-9396,HfTlCuS3,[82562]
mp-9397,HfTlCuSe3,[82563]
mp-8376,MgAlBO4,[34349]
mp-942,AuF3,[]
mp-672679,Y4InIr,[418567]
mp-8382,CePO4,[31563]
mp-8387,Tl6TeO6,[37135]
mp-8388,K2CuF4,"[174116, 38426]"
mp-973612,Hf9CoMo4,[623782]
mp-8418,ZrCoP,"[49726, 624675]"
mp-9435,La3ZrSb5,[83905]
mp-9440,YbAgSb,[83983]
mp-765559,LiAgF4,[]
mp-6730,Sr3ZnPtO6,"[81467, 280519]"
mp-844,Ca3N2,"[169725, 410754, 162791, 34678, 50991]"
mp-8446,K2CuP,[61082]
mp-9459,Y4C5,[84869]
mp-7773,Na2AsAu,[23254]
mp-7774,Na2SbAu,[23255]
mp-8459,CdSO4,[60571]
mp-8466,SmNiGe3,[60645]
mp-8467,YNiGe3,[60646]
mp-8468,Sr(SbPd)2,"[604349, 61194]"
mp-982045,YbB4Ru,[615408]
mp-8487,CaSbPt,[60830]
mp-9521,Th7Te12,[85788]
mp-9522,K(ThSe3)2,[85811]
mp-9523,Rb(ThSe3)2,[85812]
mp-9529,DyGeRh,"[85994, 629803]"
mp-9552,LaCo5P3,[86373]
mp-9563,Li2Sb,[100020]
mp-982511,HoGa2Pd,[600151]
mp-982662,Eu2MgSi2O7,[261224]
mp-9578,Ba3(AlSi)2,[100128]
mp-9827,RbHg2,[408698]
mp-7664,Na6ZnO4,[]
mp-982777,TmB4Os,[615134]
mp-982883,Na6Cd16Au7,[261960]
mp-9605,Hf3Si3Ni2,[200067]
mp-7467,RbCuO2,[15096]
mp-7471,Li3AuO3,[15113]
mp-7472,RbAuO2,[15116]
mp-9631,AlAgO2,"[300020, 95662]"
mp-7522,Th2SbN2,[16062]
mp-9632,CsReF6,[201511]
mp-7644,LuAsO4,[2506]
mp-7523,Th2TeN2,[16063]
mp-9636,CsSbF6,[201886]
mp-983509,Na3Cd,[]
mp-6964,NaTbO2,[61683]
mp-767,Yb3Ge5,"[59586, 43236, 97355]"
mp-9657,LiAsO3,[202862]
mp-7786,CsCu3S2,[23326]
mp-983603,ErZnAsO,[420203]
mp-9690,Ca(AlGa)2,[300209]
mp-7645,KAl(SO4)2,[60170]
mp-697068,SiPd2,"[659210, 648857, 648847, 43209]"
mp-9705,Ba4Na(BN2)3,[401210]
mp-7544,ZrSiRu,"[600432, 16306]"
mp-754689,Gd(AlGe)2,[]
mp-971669,FeSb3,[]
mp-754760,Eu(ReO4)2,[]
mp-8054,NaSc(GeO3)2,"[430514, 430515, 430513, 195935, 22503]"
mp-8056,Ca(BO2)2,[20097]
mp-8065,K2Ti6O13,"[25712, 184901]"
mp-704115,Cr2P4Pb3O16,"[20094, 165645]"
mp-6968,Cs2KCuF6,[59102]
mp-782,Te2Pd,"[41387, 648995, 649013, 649016, 42555, 42554, 83642]"
mp-30961,Ca7Tl3N2,[98178]
mp-5382,Sc6Si7Ni16,"[646477, 109117, 646501, 646488, 159262]"
mp-1077933,GdCu2,"[603139, 627587, 604014]"
mp-28369,GeH3Cl,[62109]
mp-14782,Na6MnTe4,[65451]
mp-22988,CsGeCl3,"[62557, 75215, 23121]"
mp-1207818,Y4CdPd,[]
mp-9177,Y2Al3Si2,[75228]
mp-7376,Sr3(AlSn)2,[9564]
mp-7377,Ba3(AlSn)2,[9565]
mp-7378,NaCdAs,"[9571, 609968]"
mp-9197,Li3AsO4,[75927]
mp-9201,K4Ge2Au7,[79111]
mp-7384,SmF3,[9842]
mp-9211,Tm2Fe2Si2C,[79394]
mp-9212,NaAlO2,[79404]
mp-7643,K2AgSb,[1155]
mp-9225,ScSiPt,[79597]
mp-7392,Na2AgSb,[10010]
mp-9251,TlTe3Pt2,[78787]
mp-669542,Ba4Cu3Ge20,"[172835, 172839, 172837, 172833, 172831, 172841, 172842, 172836, 172843, 172834, 172832, 172830, 57036, 246741, 172840, 172838]"
mp-7405,SmAlO3,"[193839, 10334, 164919, 164920]"
mp-9272,TlPt2S3,[78784]
mp-669713,Gd2Ni7,"[636019, 104093]"
mp-9273,K3Sb2Au3,[78977]
mp-9274,Rb3Sb2Au3,[78978]
mp-9293,EuGeAu,[80270]
mp-6716,Ba4Zr(RuO4)3,"[47133, 47132]"
mp-9317,KZrCuS3,[80624]
mp-6721,Sr3LiRuO6,"[96220, 50022]"
mp-9324,Ba3MnN3,[80771]
mp-9333,La3TiSb5,[80907]
mp-8109,EuB4O7,[30507]
mp-8116,K(MoS)3,[30752]
mp-8117,Rb(MoS)3,"[603622, 30753]"
mp-812,Ho2O3,"[184539, 80038, 152458, 639523, 44516, 639519, 27993, 185248, 82423, 33655, 27773, 96209, 639525, 82422, 41268]"
mp-8132,Li(TiSe2)3,[31343]
mp-7050,ZrTlCuSe3,[82561]
mp-8147,K2As2Pd,[32009]
mp-973225,Na2CrH2F8,[418677]
mp-8187,K2ZnO2,[34603]
mp-973241,Sm3Ni7B2,[615007]
mp-8201,Rb3PdF5,[35285]
mp-8202,CsRb2PdF5,[35286]
mp-8203,Zr(PS3)2,"[50700, 35298]"
mp-8204,LiAlB14,[35336]
mp-743538,CrH18(O3F)3,[2379]
mp-8212,Cd(PtO2)3,[35407]
mp-8216,LaBO3,[35535]
mp-6929,Ca2As2O7,[32602]
mp-8235,K2SiP2,[36367]
mp-8232,BaZrF6,[36122]
mp-8253,Na5ReO6,[38382]
mp-6723,Sr3ZnIrO6,"[82660, 82658, 82659, 81903]"
mp-8263,KNa2BO3,[33261]
mp-8267,KPS3,[33278]
mp-672325,TbIn2Ni,[59450]
mp-672322,Eu3(B3Rh4)2,[613863]
mp-8271,Ba2Ca(BO2)6,[30890]
mp-7598,NbAs2,"[18143, 81218]"
mp-8514,BaNd2PdO5,[62609]
mp-8515,BaSm2PdO5,[62610]
mp-8306,Ba3FeN3,[36502]
mp-672368,UVN2,[644843]
mp-672373,La3Co4Sn13,"[190476, 190477, 600229, 172793]"
mp-7439,K3Cu3P2,[12163]
mp-9353,Dy5Ni2Sb,[81765]
mp-760483,Li2PdO3,[]
mp-973524,HoVB4,"[658656, 614513]"
mp-9473,Ba(NiP)2,[85408]
mp-8456,SrAsPt,[59187]
mp-8458,BaAsPt,[59192]
mp-9488,SmOF,[81948]
mp-9497,Pr2C(NO)2,[82264]
mp-9499,Sm2C(NO)2,[82266]
mp-9498,Nd2C(NO)2,[82265]
mp-8470,NaPrO2,[61682]
mp-8481,LiPrGe,[59177]
mp-9821,RbSbF6,[408071]
mp-9546,Yb2C3,[86293]
mp-9549,ScFeGe,"[86364, 632114]"
