# List of unique stable 3D crystal structures from the COD (free) and ICSD (not free) databases.
# Created by Nicola Marzari’s group involving some cleaning to remove implausible materials.
formula,database,id
Ac,COD,9008458
Ac2O3,COD,2310018
AcBr3,COD,2310013
AcBrO,COD,2310012
AcCl3,COD,2310015
AcClO,COD,2310014
AcH2,ICSD,56392
Ag,COD,1509145
Ag10Br3Te4,COD,4001324
Ag10O13Si4,COD,1509618
Ag11KO16V4,ICSD,391344
Ag13As3I4O12,ICSD,420671
Ag13O6Os,COD,1509630
Ag15Cl3P4S16,ICSD,416586
Ag16Ca6N,COD,1509634
Ag17Mg54,COD,1509638
Ag18K4Te11,ICSD,427784
Ag25Bi3O18,COD,1509758
Ag2Al7Ca3,COD,1509767
Ag2Al7Gd3,COD,1509774
Ag2AlLi,COD,1509977
Ag2AlSc,COD,1509642
Ag2As2O7,COD,9014247
Ag2As3K5Se9,ICSD,82637
Ag2As3RbSe6,ICSD,88005
Ag2As4Hg7I6,ICSD,391132
Ag2AsCsS3,COD,4314708
Ag2AsKO4,COD,8100228
Ag2AsO6V,ICSD,425757
Ag2AsS2,ICSD,192166
Ag2B15CsO24,ICSD,408026
Ag2B8O13,COD,2310069
Ag2Ba,COD,1509681
Ag2Ba3,ICSD,108847
Ag2BaCuO8V2,ICSD,422132
Ag2BaGe2,COD,7209360
Ag2BaGeS4,ICSD,10040
Ag2BaGeSe4,ICSD,411405
Ag2BaHg2O4,COD,2002859
Ag2BaMnO8V2,COD,2002151
Ag2BaS2,COD,1509711
Ag2BaS4Sn,ICSD,41898
Ag2BaSe4Sn,COD,4000566
Ag2BaSn2,COD,7209364
Ag2BaTe2,ICSD,246048
Ag2Bi2Cl2S3,ICSD,412076
Ag2Bi7Cu3Pb3S16,ICSD,156649
Ag2BiCsS3,ICSD,93372
Ag2BiO3,COD,1509762
Ag2Br6Hg7P8,COD,4310255
Ag2BrNO3,ICSD,1311
Ag2Ca,COD,2310070
Ag2CaGe2,COD,7209366
Ag2CaO12V4,ICSD,161369
Ag2CdGeS4,ICSD,423404
Ag2CdI4,ICSD,190587
Ag2CdMg,COD,1509770
Ag2Ce,ICSD,604938
Ag2CeGe2,COD,1509772
Ag2CeIn,COD,1509773
Ag2CeSi2,COD,1509775
Ag2Cl4O7Pb8,ICSD,74853
Ag2Cl4Pd,COD,1509778
Ag2Cl6Re,COD,4508861
Ag2ClNO3,ICSD,8013
Ag2Co3O14P4,ICSD,93591
Ag2Cr2O7,COD,1007030
Ag2CrO4,COD,1509782
Ag2Cs2S4Ti,COD,4319682
Ag2Cs2Te4Zr,ICSD,80195
Ag2Cs3S8Sb3,ICSD,55365
Ag2CsI3,ICSD,150308
Ag2Cu2O3,COD,1509784
Ag2CuN4O12,ICSD,413268
Ag2Dy,COD,1509788
Ag2DyIn,COD,1509790
Ag2Er,COD,1509791
Ag2ErIn,COD,1509792
Ag2Eu,COD,1509794
Ag2Eu3,COD,1509796
Ag2EuSi2,COD,2310072
Ag2F,COD,8103404
Ag2F14ZnZr2,ICSD,422839
Ag2F23K3Zr4,ICSD,92447
Ag2F5,COD,1509801
Ag2F7K3,COD,7200989
Ag2FH2IO,ICSD,32660
Ag2FO3P,COD,4307223
Ag2FO3V,ICSD,170555
Ag2FeS4Si,ICSD,425760
Ag2FeS4Sn,COD,1008963
Ag2Ga,ICSD,151175
Ag2Gd,COD,1509804
Ag2GdIn,COD,1509805
Ag2GdSi2,COD,1509806
Ag2Ge2Nd,ICSD,154452
Ag2Ge2O16U3,COD,4316188
Ag2Ge2O5,COD,1509811
Ag2Ge2Pr,ICSD,154449
Ag2Ge2Sm,ICSD,165008
Ag2Ge2Sr,COD,7209368
Ag2Ge3Li3,COD,1509812
Ag2GeIn2S6,ICSD,159759
Ag2GeIn2Se6,ICSD,88168
Ag2GeK2S4,ICSD,170843
Ag2GeK2Se4,ICSD,420014
Ag2GeLi,COD,1509809
Ag2GeO21S6,ICSD,422486
Ag2GeO3,ICSD,167332
Ag2GeO4Zn,ICSD,81328
Ag2GePbS4,ICSD,180802
Ag2GeRb2S4,ICSD,237456
Ag2GeS3,COD,7209367
Ag2H12N4O4S,ICSD,36585
Ag2H2LiO10P3,ICSD,69560
Ag2H2O7P2,COD,1007207
Ag2H3IO6,ICSD,155415
Ag2H4O12S3,ICSD,408949
Ag2H4O6Te,COD,2212577
Ag2H6N2O6PdS2,COD,2008199
Ag2H6Na6O15S8,ICSD,418299
Ag2HNi3O12P3,ICSD,261616
Ag2HO4P,COD,1008168
Ag2HfS3,COD,1509813
Ag2Hg2O12Te3,COD,2015215
Ag2Hg7I6P8,COD,4310256
Ag2HgI2S,ICSD,413300
Ag2HgI4,COD,1010459
Ag2HgO2,COD,7109248
Ag2HgO6Se2,ICSD,413090
Ag2HgS2,COD,9009717
Ag2HgSe4Sn,ICSD,95094
Ag2Ho,COD,1509819
Ag2HoIn,COD,1509820
Ag2I3O11V,ICSD,420854
Ag2I4MoO14,ICSD,420853
Ag2I4Zn,ICSD,190588
Ag2I6O18Ti,ICSD,420852
Ag2INO3,ICSD,8075
Ag2In2S6Si,ICSD,159758
Ag2In2Se6Si,ICSD,154635
Ag2InLa,COD,1509645
Ag2InLi,COD,1509646
Ag2InMg,ICSD,605394
Ag2InNd,COD,1509647
Ag2InPr,COD,1509648
Ag2InSc,COD,1509650
Ag2InSm,COD,1509651
Ag2InTb,COD,1509653
Ag2InTm,COD,1509654
Ag2InY,COD,1509655
Ag2K,ICSD,150142
Ag2K2Se4Sn,ICSD,90119
Ag2KNbSe4,ICSD,412479
Ag2KPS4,ICSD,420033
Ag2KS3Sb,ICSD,420015
Ag2KS4Sb,ICSD,82143
Ag2KSe4Ta,ICSD,412477
Ag2La,ICSD,605497
Ag2La2O10Ti3,ICSD,83294
Ag2LaSi2,COD,1509662
Ag2Li3Si3,COD,1509667
Ag2LiSn,COD,7204711
Ag2Lu,ICSD,605531
Ag2MgZn,COD,1509668
Ag2Mn3O14P4,ICSD,93592
Ag2MnO4,COD,1509670
Ag2MnO8SrV2,COD,2002150
Ag2Mo2O7,ICSD,154826
Ag2Mo3O12Se,ICSD,417617
Ag2Mo3O16Te3,COD,7001696
Ag2MoO12Te4,COD,7001697
Ag2MoO4,COD,7222296
Ag2Na,COD,1509675
Ag2Nb4O11,COD,7212164
Ag2NbP2S8,ICSD,420032
Ag2Nd,COD,1509678
Ag2NdSi2,COD,1509679
Ag2NiO2,COD,1509683
Ag2O,COD,1010604
Ag2O10UW2,ICSD,98550
Ag2O11Ta4,ICSD,180734
Ag2O11Te4,ICSD,415473
Ag2O11V4,COD,1509687
Ag2O12SrV4,ICSD,161371
Ag2O21S6Si,ICSD,422487
Ag2O21S6Sn,ICSD,423630
Ag2O2Pb,COD,1509690
Ag2O2Pd,COD,1509691
Ag2O3,COD,1509692
Ag2O3S,COD,1509693
Ag2O3Se,COD,1509694
Ag2O3Si,COD,1509695
Ag2O3Sn,COD,2105357
Ag2O3Te,COD,1509697
Ag2O3Ti,COD,1509699
Ag2O4S,COD,1509700
Ag2O4Se,COD,7209359
Ag2O4SiZn,ICSD,81327
Ag2O4Te,ICSD,414464
Ag2O4W,COD,1509984
Ag2O6PV,ICSD,73580
Ag2O7P2Pb,ICSD,93967
Ag2O7P2Pd,COD,2220098
Ag2O7P2Zn,ICSD,90917
Ag2O7S2,ICSD,423166
Ag2O7Te2,ICSD,416281
Ag2O7W2,COD,4027815
Ag2O8P2V,ICSD,84733
Ag2O8Se2U,COD,4317662
Ag2P2S11Ti2,COD,2101672
Ag2P3Rb2Se9Sn,ICSD,165267
Ag2PS3,COD,2105370
Ag2PSe3,COD,2105373
Ag2Pr,ICSD,605675
Ag2PrSi2,COD,1509706
Ag2RbS4Sb,ICSD,82145
Ag2Rh15S15,ICSD,605703
Ag2S,COD,4329108
Ag2S3Si,ICSD,180764
Ag2S3Te,COD,1509712
Ag2S4SiZn,ICSD,183705
Ag2S4SnZn,ICSD,605734
Ag2S6TeV3,ICSD,251064
Ag2Sc,ICSD,605791
Ag2Se,COD,9000252
Ag2Si,ICSD,605838
Ag2Si2Sm,COD,1509716
Ag2Si2Sr,COD,7209362
Ag2Si2Tb,COD,1509718
Ag2Si2Yb,COD,1509719
Ag2Sn2Sr,COD,7209363
Ag2Sr,COD,1509720
Ag2Sr3,COD,1509721
Ag2Tb,COD,1509722
Ag2Te,COD,5910144
Ag2Th,COD,1509724
Ag2Tm,COD,1509725
Ag2Y,ICSD,605957
Ag2Yb,ICSD,605966
Ag2Yb3,COD,1509728
Ag2Zr,ICSD,605995
Ag36Te22Tl7,COD,8103410
Ag3Al2La,COD,1509992
Ag3As,COD,9015121
Ag3As2K3,COD,7209371
Ag3As2KS5,ICSD,82638
Ag3As2S6Tl3,ICSD,160101
Ag3As3O12U,COD,7200607
Ag3AsO4,COD,1510036
Ag3AsS3,COD,1011213
Ag3AsS4,COD,1509825
Ag3AsSe3,COD,1509845
Ag3AuS2,COD,9012873
Ag3AuSe2,COD,1509884
Ag3AuTe2,COD,1509890
Ag3BO3,COD,1509894
Ag3Ba4Ge20,COD,1509914
Ag3BiO3,COD,1509921
Ag3BrS,ICSD,174097
Ag3Ca5,COD,1509954
Ag3Ce4H60O108W22,ICSD,418317
Ag3CeK2Te4,ICSD,86678
Ag3ClCrO4,COD,8100983
Ag3Co2O6Sb,ICSD,174288
Ag3CsGd2Se5,ICSD,93683
Ag3CsS2,COD,1509993
Ag3CsSe2,COD,1509996
Ag3CsSe5Tb2,ICSD,93684
Ag3CuS2,COD,9012598
Ag3Dy3Ga8,ICSD,605076
Ag3Er3Ga8,ICSD,605107
Ag3F14Hf2,COD,1510004
Ag3F4O12S4,ICSD,422417
Ag3F6Na3O6W2,ICSD,262534
Ag3F8,COD,4331408
Ag3FeO8V2,ICSD,166890
Ag3Ga8Gd3,ICSD,605151
Ag3Ga8Ho3,ICSD,605157
Ag3Ga8Tb3,ICSD,605228
Ag3Ga8Tm3,ICSD,605242
Ag3Ga8Y3,ICSD,602589
Ag3Ge3P6Sn2,ICSD,52575
Ag3Ge5P6,COD,1509940
Ag3H12N3O19P6,ICSD,69543
Ag3H13N4O5Se,ICSD,69986
Ag3Hg4,COD,5910050
Ag3IN2O6,ICSD,14248
Ag3IO4Te,ICSD,418903
Ag3IS,COD,1510010
Ag3In,COD,1510013
Ag3In2O12P3,ICSD,245002
Ag3InO8P2,ICSD,245001
Ag3K3Nb2S8,ICSD,412478
Ag3K3S8Ta2,ICSD,412476
Ag3K3Se8Ta2,ICSD,414270
Ag3KS2,COD,7109277
Ag3KSe2,COD,8103421
Ag3KTe2,ICSD,402230
Ag3Li17Sn6,COD,4112388
Ag3LiO2,COD,7209378
Ag3Mg,COD,1510017
Ag3N5O6,COD,1510019
Ag3NO3S,ICSD,25523
Ag3NO3Se,ICSD,108857
Ag3NaO2,COD,7209379
Ag3NaS2,COD,1510020
Ag3Ni2O4,COD,1510021
Ag3O,COD,7109278
Ag3O10P3,COD,9015057
Ag3O12P3Tl2,ICSD,710052
Ag3O4,COD,1510025
Ag3O4P,COD,1010324
Ag3O4Ru,COD,2014613
Ag3O4Sb,ICSD,417675
Ag3O4V,COD,4001678
Ag3P,COD,9015865
Ag3P11,COD,4331410
Ag3P2S8Y,ICSD,417658
Ag3P6Si3Sn2,ICSD,52595
Ag3P7Sn,COD,1510031
Ag3PS4,COD,1510028
Ag3PSe4,COD,1510029
Ag3Pt,COD,1510033
Ag3RbS2,ICSD,1034
Ag3RbSe2,COD,1510035
Ag3RbSe5Sm2,ICSD,91095
Ag3RbTe2,COD,1510038
Ag3S2Tl,COD,1510039
Ag3S3Sb,COD,9009268
Ag3S6Sb2Tl3,ICSD,160100
Ag3Sb,COD,9004100
Ag3Sn,COD,9011118
Ag3Sr7,ICSD,605879
Ag3Tm,ICSD,605943
Ag3Yb5,COD,1510043
Ag4Bi2O5,COD,1509869
Ag4CdGe2S7,ICSD,95121
Ag4Ce3Ge4,ICSD,417491
Ag4Ce3Sn4,ICSD,154478
Ag4Cl2O6Te,ICSD,108999
Ag4CuO6Te,ICSD,416931
Ag4Dy3Sn4,ICSD,156968
Ag4EuIn8,COD,1509871
Ag4EuSb2,ICSD,424312
Ag4Gd3Sn4,ICSD,157372
Ag4Ge2HgS7,ICSD,95120
Ag4GeO4,COD,8103406
Ag4Ho3Sn4,ICSD,157374
Ag4I2O4Se,ICSD,418902
Ag4IO4P,ICSD,245791
Ag4K2N12O24Pd3,ICSD,250040
Ag4K2N12O24Pt3,ICSD,250041
Ag4K2S3,COD,1509882
Ag4K2Se3,COD,1509883
Ag4Lu,COD,2105365
Ag4Mn2Mo6O24Zr,ICSD,154121
Ag4Mn3O8,COD,1509886
Ag4MnS6Sb2,COD,9010239
Ag4Mo2O16Se3,ICSD,417618
Ag4N12O24Pd3Rb2,ICSD,250042
Ag4N2O2S,ICSD,23111
Ag4N2O6Te,ICSD,16006
Ag4Nd3Sn4,ICSD,164499
Ag4O4STe,ICSD,421880
Ag4O4Si,COD,1509889
Ag4O5Te,ICSD,417353
Ag4O7V2,COD,1007100
Ag4P2S7,COD,2105372
Ag4Pr3Sn4,ICSD,164498
Ag4Rb2S3,COD,8100498
Ag4S8Sn3,ICSD,164440
Ag4Sb2Sr,ICSD,424311
Ag4Sc,COD,2105374
Ag5As3CuO11,ICSD,67951
Ag5B5H18Mg5O33P6,ICSD,261581
Ag5Ba,COD,1509909
Ag5Ba2LaS6,ICSD,67894
Ag5Ba2S6Y,ICSD,659302
Ag5BiO4,COD,1509910
Ag5Cd8,COD,5910070
Ag5Cl2PS4,ICSD,416587
Ag5Cl5Hg4P8,ICSD,416360
Ag5ClO4Si,COD,8103014
Ag5ClTe2,COD,4001728
Ag5CsSe3,COD,1509918
Ag5CsTe3,COD,1509919
Ag5Eu,COD,2105375
Ag5F9,ICSD,80477
Ag5GeO4,COD,1509922
Ag5HgO6Sb,ICSD,421241
Ag5IO6,COD,1509923
Ag5KS3,COD,4336646
Ag5Mg33,COD,2300462
Ag5O4PSe,ICSD,420342
Ag5O4PTe,ICSD,420343
Ag5O4Si,ICSD,165377
Ag5O6Pb2,COD,8103409
Ag5RbS3,COD,4336647
Ag5RbSe3,COD,1509927
Ag5S4Sb,COD,9013429
Ag5Sr,COD,1509930
Ag5Zn8,COD,5910015
Ag6As2O13V2,ICSD,425758
Ag6BaO4,COD,2002214
Ag6CeN9O27,COD,2006887
Ag6ClF3Mo2O7,ICSD,413082
Ag6CrO8Si,ICSD,420804
Ag6Ge2O7,COD,1509941
Ag6GeO8S,ICSD,300179
Ag6K2S10Sn3,COD,4311155
Ag6Mo10O33,COD,1509946
Ag6Mo5O27U3,COD,4318349
Ag6O20Te4W3,COD,7001698
Ag6O4Sr,COD,2002231
Ag6O7Si2,COD,2105377
Ag6O8SSi,COD,2002207
Ag7As4ClCuO14,ICSD,67952
Ag7AsS6,COD,9012202
Ag7AsSe6,ICSD,604758
Ag7Ca2,ICSD,55510
Ag7CsS4,COD,4336648
Ag7F31Zr6,COD,1509959
Ag7Fe3O28P8,COD,7051671
Ag7NO6,COD,1509961
Ag7NO8,COD,1509963
Ag7NbS6,COD,1509964
Ag7P3S11,COD,1509966
Ag7PS6,ICSD,601451
Ag7PSe6,COD,2003005
Ag7RbS4,COD,1509967
Ag7S6Ta,COD,1509969
Ag7Te4,COD,9011850
Ag7Yb2,ICSD,370003
Ag8BaS5,COD,1509978
Ag8Ca19N7,COD,1509981
Ag8Ca3,ICSD,107145
Ag8Cr3I2O12,ICSD,419833
Ag8Ge3O10,COD,7209374
Ag8GeS6,COD,9009692
Ag8GeSe6,COD,2105379
Ag8O4S2Si,ICSD,2330
Ag8S,COD,2105382
Ag8S6Si,COD,7209375
Ag8S6Sn,COD,1509986
Ag8S6Ti,COD,1509988
Ag8Se6Sn,COD,1509989
Ag9Al17O20,COD,2100731
Ag9Bi2O6,COD,1007165
Ag9GaSe6,COD,2105383
Ag9Ge2IO8,ICSD,380303
Ag9In4,COD,2105384
AgAl2Cl5O,ICSD,37240
AgAl2Pr,ICSD,604688
AgAlCsF6,ICSD,155159
AgAlLi2,COD,1509206
AgAlO2,COD,1509222
AgAlS2,COD,1509153
AgAlSe2,COD,1509160
AgAlTe2,COD,1509169
AgAs2Ce,COD,1525868
AgAs2Cl3Hg3,ICSD,413821
AgAs2Gd,ICSD,420614
AgAs2La,ICSD,420609
AgAs2Nd,ICSD,420612
AgAs2Pr,COD,7209313
AgAs2Sm,ICSD,420613
AgAs2Tb,ICSD,420615
AgAs3Cu4O12,ICSD,61036
AgAs3H2Mn3O12,ICSD,413077
AgAs3H2O9,COD,2102805
AgAs3K2Se6,ICSD,88003
AgAs3Rb2Se6,ICSD,88004
AgAs4Cs3Se8,ICSD,90079
AgAsBa,COD,7209304
AgAsCa,COD,7209305
AgAsCs2S4,ICSD,55368
AgAsEu,COD,7209306
AgAsF10Xe2,ICSD,71119
AgAsF6N16O8S16,ICSD,35686
AgAsF6N4O2S6,ICSD,33501
AgAsF6S16,ICSD,33541
AgAsF6Se3,COD,7015145
AgAsF7,COD,2018853
AgAsHg2O4,ICSD,413087
AgAsHgS3,COD,9000870
AgAsK2,COD,7209309
AgAsMg,COD,1509198
AgAsNa2,COD,7209310
AgAsO3,COD,1509199
AgAsPbS3,COD,9008138
AgAsS,ICSD,604740
AgAsS2,COD,9009932
AgAsSe,ICSD,604753
AgAsSe2,COD,1509200
AgAsSr,COD,7209311
AgAu2F8,COD,1509209
AgAu3I8Rb2,ICSD,32031
AgAuBa4O6,COD,2002591
AgAuCd2,COD,2310024
AgAuCl4,COD,7209314
AgAuCl6Cs2,COD,1010145
AgAuF4,COD,4331391
AgAuF7,ICSD,422686
AgAuTe2,COD,9003557
AgAuTe4,COD,1509207
AgAuZn2,COD,2310025
AgB10CsH10,ICSD,96097
AgB2,COD,1509214
AgB6Cl6,COD,1509644
AgB7O12Sr,ICSD,406544
AgBF4,COD,1509210
AgBF4H2O,ICSD,402366
AgBF5,COD,1509211
AgBO2,COD,1509212
AgBa,COD,2105337
AgBa2InS4,ICSD,183654
AgBa2Si3,COD,1509733
AgBa7Ga5Se15,ICSD,425497
AgBaBi,COD,1509219
AgBaErS3,ICSD,75074
AgBaErSe3,ICSD,659171
AgBaFS,ICSD,183713
AgBaFSe,ICSD,183714
AgBaFTe,ICSD,419382
AgBaLaSe3,ICSD,659172
AgBaNdS3,ICSD,659170
AgBaO9P3,ICSD,50672
AgBaP,COD,7209317
AgBaS6Sc3,ICSD,79931
AgBaSb,COD,1509224
AgBaSe3Y,ICSD,104237
AgBaTe3Y,ICSD,88717
AgBe12,ICSD,109313
AgBe2,COD,1509229
AgBeO4P,ICSD,51083
AgBi12Cu6PbS22,ICSD,63260
AgBi2ClS3,ICSD,412372
AgBi2ClSe3,ICSD,412371
AgBi2F12,COD,4331385
AgBi3S5,COD,9004119
AgBi6S9,COD,1509150
AgBiCa,ICSD,659377
AgBiCl2S,ICSD,413290
AgBiCr2O8,ICSD,8224
AgBiCr4O14,ICSD,14234
AgBiEu,COD,7209318
AgBiI4O12,ICSD,427152
AgBiK2,COD,7209319
AgBiLi2,COD,1509236
AgBiO3,COD,1509237
AgBiO8W2,ICSD,190732
AgBiP2S6,ICSD,170639
AgBiP2Se6,ICSD,170640
AgBiS2,COD,9011024
AgBiSe2,COD,9011022
AgBiSr,COD,1509243
AgBiTe2,COD,9001316
AgBiYb,ICSD,604874
AgBr,ICSD,31109
AgBr13Mo6,COD,1509155
AgBr14W6,COD,1509156
AgBr2Cs,ICSD,150302
AgBr2H28N9O12S8,ICSD,418293
AgBr2H36N9O12S8,COD,2201015
AgBr3Cs2,ICSD,150288
AgBr3Rb2,ICSD,150287
AgBr5Pb2,COD,8103387
AgBr7W3,COD,1509768
AgBrH3N,COD,7103195
AgBrHgS,ICSD,411773
AgCa,COD,1509163
