,id,T,formula,database,zT_pred,zT_std
0,191928,1000,Br2Cs2H2Hg2I4O,ICSD,2.4734437,0.23876432
1,191929,1000,Cs2H2Hg3I8O,ICSD,2.4483733,0.24653757
2,42664,1000,Bi8Se7,ICSD,2.1774638,0.17781904
3,9011943,1000,Bi4Se3,COD,2.127518,0.210363
4,616956,1000,BiPdSe,ICSD,2.1114326,0.16737777
5,52725,1000,Bi,ICSD,2.088372,0.20624262
6,70060,1000,BiPdTe,ICSD,2.0861719,0.1733554
7,648365,1000,Pb2Pd3Se2,ICSD,2.0696259,0.17819159
8,2204243,1000,Bi2Cs2Se5Zn,COD,2.0695388,0.1626518
9,9008603,1000,BiSe,COD,2.0529122,0.17534170000000002
10,32031,1000,AgAu3I8Rb2,ICSD,2.052618,0.18878284
11,165348,1000,CsPPbSe4,ICSD,2.0448744,0.15971234
12,42665,1000,Bi8Se9,ICSD,2.0420501,0.16715308
13,9013781,1000,Pb2Pd3Te2,COD,2.0419881,0.1697277
14,411771,1000,BrCuHgSe,ICSD,2.0386212,0.18247494
15,9013900,1000,Au2Bi,COD,2.0362408,0.17756408
16,651938,1000,Se3SnTl4,ICSD,2.032915,0.15956125
17,415410,1000,As2Br3CuHg3,ICSD,2.0267467,0.14454985
18,7209416,1000,Au3LiSn4,COD,2.025747,0.15634285
19,1527696,1000,Bi3In5,COD,2.0246682000000003,0.17062828
20,261457,1000,Bi2Pd3Se2,ICSD,2.023784,0.13055961
21,20386,1000,Bi3Se4,ICSD,2.022835,0.17452636
22,246145,1000,Bi4I,ICSD,2.0205495,0.19943105
23,39257,1000,Bi9I2,ICSD,2.0191207,0.16443408
24,9011203,1000,Bi4Te3,COD,2.0171013,0.16997683
25,153858,1000,Bi2ITe,ICSD,2.0152938,0.18647408
26,7209388,1000,AuI3K,COD,2.0149913,0.16864946
27,1528276,1000,BiI,COD,2.0144904,0.158905
28,79601,1000,PdSe2Tl2,ICSD,2.012106,0.19431391
29,648843,1000,Pd3Se2Tl2,ICSD,2.0102112,0.14533404
30,426197,1000,H2HgI3KO,ICSD,2.008458,0.23386562
31,165322,1000,AuKPSe3,ICSD,2.0077317,0.12729645
32,391132,1000,Ag2As4Hg7I6,ICSD,2.0056603,0.16127951
33,20826,1000,Se3Tl5,ICSD,2.004364,0.16595215
34,9012390,1000,BiPbPd2,COD,2.0042562,0.16772583
35,9008986,1000,AuI,COD,2.001674,0.2158233
36,1527367,1000,Bi8Te9,COD,2.0015368,0.2068834
37,1527697,1000,BiIn2,COD,2.0013764,0.16511223
38,419405,1000,Cs2N2Tb6Te7,ICSD,1.9978737,0.14903727
39,85588,1000,Au3RbS5Sb2,ICSD,1.9975309,0.14837582
40,1527695,1000,BiIn,COD,1.9914173,0.17124975
41,616725,1000,Bi3In4Pb,ICSD,1.9911612,0.14806953
42,81301,1000,HK6Na15Tl18,ICSD,1.9863237,0.19020686
43,65962,1000,CuI3Tl2,ICSD,1.9828,0.18226543
44,9008603,700,BiSe,COD,1.982108,0.16448641
45,612311,1000,AuSe3Tl4,ICSD,1.9820715,0.17396691
46,9000678,1000,BiTe,COD,1.9803376,0.16369161
47,629347,1000,CuTe3Tl4,ICSD,1.9801011,0.16494125
48,1510490,1000,Au3CsSe2,COD,1.9786422,0.18813834
