id,formula,database,T,zT_pred,zT_std
191928,Br2Cs2H2Hg2I4O,ICSD,1000,2.4734437,0.23876432
191929,Cs2H2Hg3I8O,ICSD,1000,2.4483733,0.24653757
42664,Bi8Se7,ICSD,1000,2.1774638,0.17781904
9011943,Bi4Se3,COD,1000,2.127518,0.210363
616956,BiPdSe,ICSD,1000,2.1114326,0.16737777
52725,Bi,ICSD,1000,2.088372,0.20624262
70060,BiPdTe,ICSD,1000,2.0861719,0.1733554
648365,Pb2Pd3Se2,ICSD,1000,2.0696259,0.17819159
2204243,Bi2Cs2Se5Zn,COD,1000,2.0695388,0.1626518
9008603,BiSe,COD,1000,2.0529122,0.1753417
32031,AgAu3I8Rb2,ICSD,1000,2.052618,0.18878284
165348,CsPPbSe4,ICSD,1000,2.0448744,0.15971234
42665,Bi8Se9,ICSD,1000,2.0420501,0.16715308
9013781,Pb2Pd3Te2,COD,1000,2.0419881,0.1697277
411771,BrCuHgSe,ICSD,1000,2.0386212,0.18247494
9013900,Au2Bi,COD,1000,2.0362408,0.17756408
651938,Se3SnTl4,ICSD,1000,2.032915,0.15956125
415410,As2Br3CuHg3,ICSD,1000,2.0267467,0.14454985
7209416,Au3LiSn4,COD,1000,2.025747,0.15634285
1527696,Bi3In5,COD,1000,2.0246682,0.17062828
261457,Bi2Pd3Se2,ICSD,1000,2.023784,0.13055961
20386,Bi3Se4,ICSD,1000,2.022835,0.17452636
246145,Bi4I,ICSD,1000,2.0205495,0.19943105
39257,Bi9I2,ICSD,1000,2.0191207,0.16443408
9011203,Bi4Te3,COD,1000,2.0171013,0.16997683
153858,Bi2ITe,ICSD,1000,2.0152938,0.18647408
7209388,AuI3K,COD,1000,2.0149913,0.16864946
1528276,BiI,COD,1000,2.0144904,0.158905
79601,PdSe2Tl2,ICSD,1000,2.012106,0.19431391
648843,Pd3Se2Tl2,ICSD,1000,2.0102112,0.14533404
426197,H2HgI3KO,ICSD,1000,2.008458,0.23386562
165322,AuKPSe3,ICSD,1000,2.0077317,0.12729645
391132,Ag2As4Hg7I6,ICSD,1000,2.0056603,0.16127951
20826,Se3Tl5,ICSD,1000,2.004364,0.16595215
9012390,BiPbPd2,COD,1000,2.0042562,0.16772583
9008986,AuI,COD,1000,2.001674,0.2158233
1527367,Bi8Te9,COD,1000,2.0015368,0.2068834
1527697,BiIn2,COD,1000,2.0013764,0.16511223
419405,Cs2N2Tb6Te7,ICSD,1000,1.9978737,0.14903727
85588,Au3RbS5Sb2,ICSD,1000,1.9975309,0.14837582
1527695,BiIn,COD,1000,1.9914173,0.17124975
616725,Bi3In4Pb,ICSD,1000,1.9911612,0.14806953
81301,HK6Na15Tl18,ICSD,1000,1.9863237,0.19020686
65962,CuI3Tl2,ICSD,1000,1.9828,0.18226543
9008603,BiSe,COD,700,1.982108,0.16448641
612311,AuSe3Tl4,ICSD,1000,1.9820715,0.17396691
9000678,BiTe,COD,1000,1.9803376,0.16369161
629347,CuTe3Tl4,ICSD,1000,1.9801011,0.16494125
1510490,Au3CsSe2,COD,1000,1.9786422,0.18813834
5910072,Sb4Tl5,COD,1000,1.9776307,0.16971529
617096,Bi2Se3,ICSD,1000,1.975658,0.20950422
43512,Bi2SeTe2,ICSD,1000,1.9748021,0.14669418
1510612,AuBrSe,COD,1000,1.9737167,0.15251885
75960,BrSe2Tl5,ICSD,1000,1.9717233,0.14563616
1529983,HgI3K,COD,1000,1.9713185,0.1874286
1528272,BiBr,COD,1000,1.9705377,0.20476604
9004224,BiPd,COD,1000,1.9693489,0.1670374
1510609,AuBr,COD,1000,1.9690174,0.17592192
42664,Bi8Se7,ICSD,700,1.966172,0.21607049
9012857,Bi2Pd,COD,1000,1.9658757,0.18000552
1518091,Bi7Cs3Se12,COD,1000,1.9657202,0.17887932
52288,Sb2Tl7,ICSD,1000,1.9634091,0.18079203
165238,AuK19Na6Tl24,ICSD,1000,1.9623032,0.20730129
95237,Ge2Hg3K2Se8,ICSD,1000,1.9610215,0.17506608
411893,Cs3NaPb4,ICSD,1000,1.9603671,0.20024425
9011943,Bi4Se3,COD,700,1.9591371,0.20022881
4106340,I4SeTl6,COD,1000,1.9558827,0.1777192
42665,Bi8Se9,ICSD,700,1.954967,0.18321808
69438,KPt2Se3,ICSD,1000,1.9507278,0.14355089
1523050,SnTe3Tl4,COD,1000,1.9507097,0.14867647
427679,BrTe2Tl5,ICSD,1000,1.9503101,0.18137513
9012858,Bi2Te3,COD,1000,1.946954,0.186
262688,ClCs6Ho21Te34,ICSD,1000,1.9465481,0.17129841
261016,PbSe3Tl4,ICSD,1000,1.9459473,0.15317734
7100873,Bi3CsSe5,COD,1000,1.9458933,0.14812899
20386,Bi3Se4,ICSD,700,1.9455801,0.18178934
1510365,AuBi9Br9,COD,1000,1.9450732,0.16815472
236253,Bi4SnTe7,ICSD,1000,1.9432074,0.16832125
616991,BiPtSe,ICSD,1000,1.9420017,0.13932148
2012689,TeTl2,COD,1000,1.940568,0.1688865
5910260,Hg2I3NaO2,COD,1000,1.9403236,0.20018873
411892,Cs5K3Pb18,ICSD,1000,1.9398531,0.20628023
412895,Bi14Br16Pd,ICSD,1000,1.938359,0.18057482
9004849,Bi2Se2Te,COD,1000,1.9371464,0.1581608
58834,BiPb3Pt,ICSD,1000,1.9371328,0.1982469
413308,HgK2Se4Sn,ICSD,1000,1.936468,0.1489625
2010577,BiISe,COD,1000,1.9358176,0.18309096
1010460,Cu2HgI4,COD,1000,1.9344664,0.16724087
93372,Ag2BiCsS3,ICSD,1000,1.9333034,0.15486944
40260,Te3Tl5,ICSD,1000,1.9327691,0.16532853
1510182,AuITe,COD,1000,1.9319278,0.19210187
1527777,AsPb2Pd3,COD,1000,1.9303007,0.17903838
1510187,AuI4Li,COD,1000,1.9284168,0.15876839
652804,SnTl,ICSD,1000,1.9273552,0.17000873
1523090,HgPo,COD,1000,1.9255056,0.21142018
413300,Ag2HgI2S,ICSD,1000,1.9245065,0.16186137
1528273,Bi6Br7,COD,1000,1.9240708,0.17472702
33893,Cs2Pt3Se4,ICSD,1000,1.9240361,0.18989247
4002338,Bi8Cs2Se13,COD,1000,1.9233556,0.19590238
85412,BiK2RbSe3,ICSD,1000,1.9221212,0.19212873
616577,BiCu,ICSD,1000,1.9213175,0.16445406
1510206,AuKSe2,COD,1000,1.9206963,0.20762435
1510457,Au2Pb,COD,1000,1.9198493,0.15739572
1010622,BiI3,COD,1000,1.9193459,0.19813108
9004221,HgPd,COD,1000,1.9178092,0.17717388
42708,Bi2Pb2Te5,ICSD,1000,1.9175524,0.15720941
1510186,AuI4K,COD,1000,1.917093,0.16862425
153858,Bi2ITe,ICSD,700,1.9164793,0.20514023
416287,AuBi8Br9Sb,ICSD,1000,1.9152287,0.1742264
4312037,CsTe3TmZn,COD,1000,1.9138225,0.14782426
9008911,BiPt,COD,1000,1.913591,0.19786179
1529984,HgI4K2,COD,1000,1.9134718,0.18334311
53967,BiTl,ICSD,1000,1.9121784,0.18432054
58864,Bi2Tl,ICSD,1000,1.9119906,0.18386804
1531626,Bi6PbTe10,COD,1000,1.9077845,0.16730228
1510509,Au3RbSe2,COD,1000,1.9077201,0.14820677
616936,Bi2PbTe4,ICSD,1000,1.9072886,0.1955304
85581,AuCdCsS2,ICSD,1000,1.9071542,0.213356
262687,ClCs6Dy21Te34,ICSD,1000,1.9068787,0.16801363
404695,K6MgNa14Tl18,ICSD,1000,1.9060408,0.19170305
408685,Au2Cs2S4Sn,ICSD,1000,1.9045774,0.20081677
601653,Cu2Te2Tl,ICSD,1000,1.9045632,0.15300421
9008555,Tl,COD,1000,1.9041793,0.22959831
656155,Cu2GeHgTe4,ICSD,1000,1.9039052,0.1630956
2310403,BiTe2Tl,COD,1000,1.9036345,0.1411471
410814,As4Hg7I6Sn,ICSD,1000,1.9028908,0.1657546
4312036,CsErTe3Zn,COD,1000,1.9028887,0.20752542
415130,Bi4Br4Ga,ICSD,1000,1.9024907,0.15518963
422827,BiCu4ISe4,ICSD,1000,1.9017875,0.14090706
648621,PbTe3Tl4,ICSD,1000,1.9008114,0.15324333
649563,PtSbSe,ICSD,1000,1.9006261,0.1480492
190969,Hg3Pd8Se9,ICSD,1000,1.8993187,0.14938256
2206091,AuBr3Cs,COD,1000,1.8976281,0.17349583
42891,Bi4GeTe7,ICSD,1000,1.8972931,0.1426526
611768,AuCuSn,ICSD,1000,1.8969002,0.14973632
656158,Cu2HgSnTe4,ICSD,1000,1.8967558,0.1371568
1509890,Ag3AuTe2,COD,1000,1.8958966,0.13994074
4304501,Au4KSn6,COD,1000,1.8953465,0.17392546
69440,CsPt2Se3,ICSD,1000,1.8948905,0.18325435
89018,HgRbSbSe3,ICSD,1000,1.8942505,0.1764434
58846,Bi2Pt,ICSD,1000,1.8938054,0.18693268
28312,Br3CsPb,ICSD,1000,1.8932468,0.19352609
83477,HgPRb2Se5,ICSD,1000,1.8929485,0.15962665
4312035,CsHoTe3Zn,COD,1000,1.8928244,0.17645602
8100034,Br5PdTl3,COD,1000,1.8916707,0.19474828
42707,Bi4PbTe7,ICSD,1000,1.8901285,0.14441064
1523008,BiITe,COD,1000,1.8899553,0.17326777
1001415,As2Hg4I3,COD,1000,1.8878198,0.16135333
409062,I2PdTe,ICSD,1000,1.8874719,0.1724701
76649,BiBrSe,ICSD,1000,1.8872969,0.18908086
411096,Bi3BrSe4,ICSD,1000,1.8869585,0.17235002
1510489,Au3CsS2,COD,1000,1.8853647,0.21851051
49658,GeTe3Tl3,ICSD,1000,1.8849143,0.17617668
78786,Pd2Se3Tl,ICSD,1000,1.8844767,0.19846776
7209352,AgTe2Tl3,COD,1000,1.8843253,0.15644398
1510272,AuPb2,COD,1000,1.8833823,0.19932434
4002165,Cs2Hg3S4,COD,1000,1.8819091,0.19543335
30394,Bi2GeTe4,ICSD,1000,1.8776002,0.16102175
1509884,Ag3AuSe2,COD,1000,1.8766993,0.16463758
1010882,SbTl,COD,1000,1.8765225,0.1634393
1510296,AuSe,COD,1000,1.8761784,0.2074547
9001316,AgBiTe2,COD,1000,1.8740015,0.16423663
413682,CsCu3Se5Yb2,ICSD,1000,1.8734534,0.1813338
26266,Cs2Pt3S4,ICSD,1000,1.872836,0.19145907
165349,P2PbRb4Se8,ICSD,1000,1.8719449,0.18731666
30372,Bi2Pb2Se5,ICSD,1000,1.8717761,0.16451657
78785,Pt2Se3Tl,ICSD,1000,1.8716048,0.14843222
617014,BiRhSe,ICSD,1000,1.8713946,0.14487867
203188,Br8Hg2PdRb2,ICSD,1000,1.8708926,0.19462714
91299,Bi5Cs3Cu2S10,ICSD,1000,1.8707002,0.1846026
1528272,BiBr,COD,700,1.8704715,0.20507193
9009816,BrHg3ITe2,COD,1000,1.8694541,0.1449878
83633,Hg3Rb2Te4,ICSD,1000,1.8693925,0.19723128
417510,CoCsSe3Yb,ICSD,1000,1.8693608,0.18400675
52725,Bi,ICSD,700,1.8685881,0.24045336
1528276,BiI,COD,700,1.8676893,0.14020824
85582,AuCdRbS2,ICSD,1000,1.8665828,0.1587896
406950,Bi24Br20Ru3,ICSD,1000,1.8662543,0.13424017
406951,Bi4Br2Ru,ICSD,1000,1.8658805,0.14924127
82312,As2Br3Hg4,ICSD,1000,1.8658767,0.16990554
236383,Bi3Co,ICSD,1000,1.865709,0.14835492
616947,Bi3Pd8,ICSD,1000,1.8653703,0.13911873
80588,Hg4I3Sb2,ICSD,1000,1.8653058,0.15180385
39257,Bi9I2,ICSD,700,1.864176,0.18772864
1527851,GaTe2Tl,COD,1000,1.8622937,0.12589945
617096,Bi2Se3,ICSD,700,1.8619566,0.19148456
420622,Cd2KSb3Yb2,ICSD,1000,1.8615717,0.14415868
413681,CsCu3Se5Tm2,ICSD,1000,1.861495,0.15692386
405639,Bi12I3Ni4,ICSD,1000,1.8613641,0.16545203
1524520,Pb2Pd,COD,1000,1.8603324,0.19666587
418003,Br4Pd4Te3,ICSD,1000,1.860201,0.171393
42549,BiPtTe,ICSD,1000,1.8600295,0.16615728
246145,Bi4I,ICSD,700,1.8566945,0.1938721
153603,Br3CsHg,ICSD,1000,1.8560004,0.17727652
1510273,AuPb3,COD,1000,1.8554202,0.19053984
165229,Cd3K16Na9Tl18,ICSD,1000,1.8553694,0.203303
1509539,AgSeTl,COD,1000,1.8550537,0.13804685
648514,PbSe,ICSD,1000,1.8542181,0.16621001
4340717,Bi4Pb7Se13,COD,1000,1.8542095,0.15829931
411135,Bi9Br3Rh2,ICSD,1000,1.8531934,0.15397835
629124,Cu2Se2Tl,ICSD,1000,1.8528533,0.15041071
1527926,Bi2Ge3Te6,COD,1000,1.8525717,0.15734817
1530529,Br5CsHg2,COD,1000,1.852078,0.18035229
69439,Pt2RbSe3,ICSD,1000,1.8505173,0.15435939
639142,HgPd5Se,ICSD,1000,1.8501025,0.17195433
391191,Bi37Br48In,ICSD,1000,1.8484702,0.17299025
28743,CuSe2Tl,ICSD,1000,1.848133,0.13129999
1521988,TeTl,COD,1000,1.8474753,0.13943738
74022,Au2K2S4Sn,ICSD,1000,1.8474128,0.14421858
9008952,SeTl,COD,1000,1.8472879,0.14758216
77882,PbTe,ICSD,1000,1.8469065,0.17313448
165359,CsCuPSe3,ICSD,1000,1.8438911,0.18862209
1510579,Au6Hg5,COD,1000,1.8438716,0.23099278
185808,HgPt2Se3,ICSD,1000,1.8421854,0.16219164
58840,Bi2Pd5,ICSD,1000,1.8421751,0.14418219
93370,Bi2CsCuS4,ICSD,1000,1.8417772,0.16494587
1528273,Bi6Br7,COD,700,1.8413823,0.20749784
2595,GePtSe,ICSD,1000,1.8408291,0.14564812
1510184,AuITe2,COD,1000,1.8407124,0.15680991
4312033,CsDyTe3Zn,COD,1000,1.8401756,0.20414284
65806,Hg3I2Te2,ICSD,1000,1.8394345,0.1735637
411153,Hg3I2Se2,ICSD,1000,1.8389148,0.1563993
4030182,Cu14Se10Tl5,COD,1000,1.8384006,0.12310518
69562,SnTe3Tl2,ICSD,1000,1.8380193,0.13623595
9003557,AgAuTe2,COD,1000,1.8378508,0.15359832
78788,NaPt2Se3,ICSD,1000,1.8366573,0.14778782
91298,Bi5Cu2Rb3S10,ICSD,1000,1.834803,0.18940496
237340,Br5Hg6Se4Tl,ICSD,1000,1.8341076,0.16515493
85682,Au5KP2S8,ICSD,1000,1.8339466,0.13757963
406949,Bi4I2Ru,ICSD,1000,1.8336916,0.13672325
408442,BiGa2Se4,ICSD,1000,1.8334328,0.14008223
80804,Se4SnTl3,ICSD,1000,1.8317589,0.13698858
157861,Hg,ICSD,1000,1.8312025,0.20138097
1527697,BiIn2,COD,700,1.8311948,0.1596419
39931,As10Br18Hg19,ICSD,1000,1.830233,0.14248541
58839,BiPd3,ICSD,1000,1.8295404,0.15295969
7209420,Au4KSn2,COD,1000,1.8284422,0.1479467
190987,Au2Ga2In,ICSD,1000,1.8281757,0.13985956
152384,InK5Pb8,ICSD,1000,1.8280993,0.19484027
54316,Pb2Pt,ICSD,1000,1.8273246,0.15264536
50987,IPdTe,ICSD,1000,1.8268483,0.17315865
9004849,Bi2Se2Te,COD,700,1.8264899,0.19707862
1510079,AuCdSb,COD,1000,1.8256748,0.15859465
1523087,PbPo,COD,1000,1.8247296,0.2132814
2206809,AuI3Rb,COD,1000,1.824697,0.19453505
1527853,InTe2Tl,COD,1000,1.8246521,0.14134145
9011287,AuTe2,COD,1000,1.8246113,0.16728072
174373,Cu3KSe5Tm2,ICSD,1000,1.8237565,0.17644277
68524,Cu3Se2Tl,ICSD,1000,1.8233273,0.15604717
648842,Pd5SeTl,ICSD,1000,1.8231043,0.1393415
9011203,Bi4Te3,COD,700,1.8230834,0.17391759
1527367,Bi8Te9,COD,700,1.8226506,0.18868071
617113,BiSe2Tl,ICSD,1000,1.8225813,0.16202676
1532891,Br2Hg3Se2,COD,1000,1.8215655,0.14736612
9000678,BiTe,COD,700,1.8210164,0.16786343
4002337,Bi8Rb2Se13,COD,1000,1.8207408,0.15638496
174372,Cu3Er2KSe5,ICSD,1000,1.8206024,0.14281164
415130,Bi4Br4Ga,ICSD,700,1.8199385,0.17788288
1510578,Au6Cs4S5,COD,1000,1.8195359,0.18336827
1523183,HgTl,COD,1000,1.818385,0.12594041
4030789,RbS2Yb,COD,1000,1.8183306,0.12008695
4343873,Pt8Sb11Sn14,COD,1000,1.8182062,0.1371938
80292,GeTe3Tl2,ICSD,1000,1.8173276,0.14568101
1510367,AuBr3Rb,COD,1000,1.8173265,0.15454108
60962,SbSe3Tl3,ICSD,1000,1.8169034,0.14573671
4000659,GeHgTe4Tl2,COD,1000,1.8168811,0.16703206
9011582,Au2Te3,COD,1000,1.8167423,0.1578347
4312034,CsTbTe3Zn,COD,1000,1.8160213,0.15469356
1527527,AsSe3Tl3,COD,1000,1.81599,0.13336185
236348,K6Na14Tl18Zn,ICSD,1000,1.8159527,0.2031728
97427,Bi2CdCs2S5,ICSD,1000,1.8157212,0.17685471
1524515,PdTl2,COD,1000,1.8156618,0.17333879
411861,As4Br6Hg6Sn,ICSD,1000,1.8155227,0.15625852
7209370,AgI5Tl3,COD,1000,1.8153332,0.16021186
2010577,BiISe,COD,700,1.8141168,0.2032946
245518,Bi12Br2Rh3,ICSD,1000,1.8140433,0.14452516
418556,Bi20I36Pt3,ICSD,1000,1.8137527,0.13609976
1523185,Hg3Tl,COD,1000,1.8136833,0.15346162
9008909,PdTe,COD,1000,1.8133407,0.19151817
81996,CsCu2TaTe4,ICSD,1000,1.8118881,0.16232729
250266,Br5KPb2,ICSD,1000,1.8115706,0.17563999
25120,I2Pd,ICSD,1000,1.8114471,0.15744756
411136,Bi9I3Rh2,ICSD,1000,1.8111893,0.13057245
411218,BiBr7Hg6Sb4,ICSD,1000,1.8110209,0.12774456
36296,Pb,ICSD,1000,1.8105191,0.19935992
1509558,AgTe2Tl,COD,1000,1.8098851,0.12685221
165321,AuK3P2Se8,ICSD,1000,1.8098056,0.1424632
603271,CsS2Yb,ICSD,1000,1.8097233,0.15903588
9011022,AgBiSe2,COD,1000,1.8090949,0.16331932
78874,Br6Pb2Pd,ICSD,1000,1.8088269,0.1634826
261015,GeSe4Tl4,ICSD,1000,1.8087522,0.16787559
391381,AuSbTl,ICSD,1000,1.8079909,0.15974307
2219453,Cs2Hg6S7,COD,1000,1.8067492,0.21185565
656152,Cu2HgSiTe4,ICSD,1000,1.8067204,0.12959653
1510105,AuCsSe3,COD,1000,1.8059217,0.1629014
648427,Pb2Rh3Se2,ICSD,1000,1.8041463,0.13538665
85598,Cs2Hg3S8Sn2,ICSD,1000,1.8040718,0.13428152
408684,AuGeKS3,ICSD,1000,1.8037622,0.13245654
159465,Bi2BrInSe4,ICSD,1000,1.8033046,0.16407488
1510581,Au6Rb4S5,COD,1000,1.8020828,0.18240708
27402,Br2Hg3Te2,ICSD,1000,1.8010899,0.16892478
73666,SnTe5Tl2,ICSD,1000,1.8009708,0.13394088
4304502,Au3KSn3,COD,1000,1.8008586,0.1732991
1527696,Bi3In5,COD,700,1.8007915,0.15866852
21039,Br6Pb4Se,ICSD,1000,1.8007258,0.1450032
2101560,Bi2Rh,COD,1000,1.8006425,0.13991034
4339089,Au4In6K,COD,1000,1.7993207,0.16318431
22138,BrIPb,ICSD,1000,1.7979583,0.1481415
423016,Bi3IIn2Se7,ICSD,1000,1.797921,0.13598707
391336,Bi3Ni,ICSD,1000,1.7976921,0.13569736
174577,PbSe2,ICSD,1000,1.7962075,0.1429704
413675,CsCu3Er2Se5,ICSD,1000,1.7956582,0.13514385
78787,Pt2Te3Tl,ICSD,1000,1.7955699,0.12790504
406636,Bi7Br8Rh,ICSD,1000,1.7953882,0.14934856
26267,Pt3Rb2S4,ICSD,1000,1.7953753,0.1532551
1527695,BiIn,COD,700,1.7951884,0.15078536
9009141,I2Pb,COD,1000,1.7948372,0.1277308
4000660,HgSnTe4Tl2,COD,1000,1.7946029,0.15950215
1510306,AuSn2,COD,1000,1.7943438,0.14254245
1510580,Au6K4S5,COD,1000,1.7934567,0.16659927
1510315,AuTl2,COD,1000,1.792883,0.16366662
1509138,Po,COD,1000,1.7928629,0.23518659
417538,Bi3I16Tl7,ICSD,1000,1.7928127,0.15530562
71560,ErKTe2,ICSD,1000,1.7924293,0.17229469
72975,BiCsS2,ICSD,1000,1.7922138,0.18020357
651642,SbTe2Tl,ICSD,1000,1.7920346,0.16217212
72976,Bi8K2Se13,ICSD,1000,1.7918923,0.16274819
9012387,Pt5Se4,COD,1000,1.7916446,0.14992782
85583,Au4CdK2S4,ICSD,1000,1.7913013,0.20748097
4319348,Hg5Rb4Te13,COD,1000,1.7910079,0.19444078
648397,Pb4Pt,ICSD,1000,1.7895634,0.17799637
4317676,CsSe3YbZn,COD,1000,1.7892237,0.16878735
9016730,AuSb2,COD,1000,1.7887568,0.16298063
60491,ITl,ICSD,1000,1.78868,0.13397266
69035,GeTe5Tl2,ICSD,1000,1.788064,0.17452449
191094,BiCu2KS3,ICSD,1000,1.7880589,0.15788496
620548,CdTe2Tl,ICSD,1000,1.7876452,0.13323401
54507,AuRb2S4Sb,ICSD,1000,1.7875224,0.16072841
1509207,AgAuTe4,COD,1000,1.786991,0.15571713
1010459,Ag2HgI4,COD,1000,1.786849,0.17610005
1509557,AgTeTl,COD,1000,1.78657,0.12087317
417039,As4Br6CdHg6,ICSD,1000,1.785289,0.14711064
410895,Te3Tl2,ICSD,1000,1.7845993,0.15449151
43512,Bi2SeTe2,ICSD,700,1.784525,0.18677334
1010622,BiI3,COD,700,1.7844425,0.18632996
416973,As2CdHg4I4,ICSD,1000,1.7839247,0.15261514
151997,I5InPb2,ICSD,1000,1.7837214,0.11828838
191928,Br2Cs2H2Hg2I4O,ICSD,700,1.7833123,0.22464752
105602,PbPt,ICSD,1000,1.782851,0.20196316
75960,BrSe2Tl5,ICSD,700,1.782323,0.1521118
8103605,BiBr3,COD,1000,1.7818836,0.17023034
4317675,CsSe3TmZn,COD,1000,1.7815894,0.1742097
67253,CuITe2,ICSD,1000,1.7809976,0.18453856
170600,Cs4Ge5Pb4S16,ICSD,1000,1.780813,0.17387448
8103410,Ag36Te22Tl7,COD,1000,1.7807158,0.12651154
1531358,BiPPb2,COD,1000,1.7807031,0.17102808
250250,PbSb2Te4,ICSD,1000,1.7806828,0.12986416
415012,Bi2I9Tl3,ICSD,1000,1.7805444,0.16903338
174371,Cu3Ho2KSe5,ICSD,1000,1.7805297,0.14695893
1531067,Bi2Br9Cs3,COD,1000,1.7803284,0.17656866
648361,Pb3Pd5,ICSD,1000,1.7800659,0.17941074
611388,AsSe4Tl3,ICSD,1000,1.7798321,0.12500878
262390,HgRb2SnTe4,ICSD,1000,1.7796637,0.20231515
2020016,KS2Yb,COD,1000,1.7789487,0.15381944
411096,Bi3BrSe4,ICSD,700,1.7788829,0.1618416
2008114,AuBr4K,COD,1000,1.7788457,0.1501091
4112588,Bi4CsTe6,COD,1000,1.778584,0.14321035
74921,Hg5I6Sb2,ICSD,1000,1.7784892,0.14376175
4000658,CdSnTe4Tl2,COD,1000,1.7784162,0.14742273
4027824,Au2Cs2Se3,COD,1000,1.7783628,0.19938768
610664,AsHgPd5,ICSD,1000,1.777947,0.15677977
605653,AgPb4Pd6,ICSD,1000,1.7777605,0.18273847
9012535,Cu7Hg6,COD,1000,1.7776107,0.1646485
602876,CsS2Tm,ICSD,1000,1.7773225,0.17701536
97426,Bi2Cs2S5Zn,ICSD,1000,1.7771853,0.1634297
616725,Bi3In4Pb,ICSD,700,1.7770462,0.17044681
54796,AgHgIS,ICSD,1000,1.7765574,0.16182104
1523554,PbPt3,COD,1000,1.7754107,0.18841869
1509391,AgI2Tl,COD,1000,1.7753009,0.11766531
4106340,I4SeTl6,COD,700,1.774358,0.16966139
7221245,I6PbTl4,COD,1000,1.773745,0.13388382
191929,Cs2H2Hg3I8O,ICSD,700,1.7736684,0.22807592
1523756,PtTe,COD,1000,1.7735225,0.16526623
1522860,Pt2Sn3,COD,1000,1.7731036,0.12727517
629135,Cu4Se3Tl,ICSD,1000,1.7717595,0.14832893
6063,Br4K2Pt,ICSD,1000,1.7716494,0.15746747
58853,Bi3Rh,ICSD,1000,1.771139,0.13166183
418335,Bi6Br10Pt,ICSD,1000,1.7707286,0.15071791
37190,I6K2Pt,ICSD,1000,1.7704233,0.13316388
412477,Ag2KSe4Ta,ICSD,1000,1.7699581,0.16660768
1524609,Se3SnTl2,COD,1000,1.7699115,0.13703744
627936,Cu2HgSe4Sn,ICSD,1000,1.7690638,0.16593005
413677,CsCu3Ho2Se5,ICSD,1000,1.768797,0.1786601
1509393,AgI3Tl2,COD,1000,1.7686527,0.15287638
410552,CdK6Pb8,ICSD,1000,1.7685987,0.18501426
61180,Br4CsTl,ICSD,1000,1.7684363,0.1640099
60761,I8Pt3,ICSD,1000,1.7679505,0.12982708
152761,Cu2GeHgSe4,ICSD,1000,1.7678648,0.1362295
651938,Se3SnTl4,ICSD,700,1.7670075,0.15643719
4000657,CdGeTe4Tl2,COD,1000,1.7669194,0.13970974
420139,Br7Hg6InSb4,ICSD,1000,1.7664975,0.15941854
93369,Bi5Cu2K3S10,ICSD,1000,1.7658968,0.19257253
7221381,I3PbTl,COD,1000,1.7652848,0.16389725
280332,AsHg3ISe4,ICSD,1000,1.7650014,0.14123999
416238,AsHg4I5,ICSD,1000,1.7634832,0.12854427
656156,Cu2SnTe4Zn,ICSD,1000,1.762708,0.13450915
423015,BiIIn2Se4,ICSD,1000,1.7625455,0.13069266
76649,BiBrSe,ICSD,700,1.7622205,0.19971177
418555,Bi20Br36Pt3,ICSD,1000,1.7622199,0.13468488
1510612,AuBrSe,COD,700,1.7607504,0.1562998
190588,Ag2I4Zn,ICSD,1000,1.7603699,0.16358152
1523810,HgIn,COD,1000,1.760328,0.14000332
1522492,Pb5Rh4,COD,1000,1.7591575,0.13746268
652069,Se3Tl2,ICSD,1000,1.7587943,0.1742058
27443,Br2Pd,ICSD,1000,1.7587733,0.1774689
55573,Ga2Pt,ICSD,1000,1.7585651,0.14607725
