,id,T,formula,database,zT_pred,zT_std
31,165322,1000,AuKPSe3,ICSD,2.0077317,0.12729645
38,419405,1000,Cs2N2Tb6Te7,ICSD,1.9978737,0.14903727
68,69438,1000,KPt2Se3,ICSD,1.9507278,0.14355089
128,422827,1000,BiCu4ISe4,ICSD,1.9017875,0.14090706
130,649563,1000,PtSbSe,ICSD,1.9006261,0.14804920000000002
135,656158,1000,Cu2HgSnTe4,ICSD,1.8967558,0.1371568
166,78785,1000,Pt2Se3Tl,ICSD,1.8716048,0.14843222
167,617014,1000,BiRhSe,ICSD,1.8713946,0.14487867
178,406951,1000,Bi4Br2Ru,ICSD,1.8658805,0.14924127
180,236383,1000,Bi3Co,ICSD,1.865709,0.14835492
184,1527851,1000,GaTe2Tl,COD,1.8622937,0.12589945
186,420622,1000,Cd2KSb3Yb2,ICSD,1.8615717,0.14415868
196,1509539,1000,AgSeTl,COD,1.8550537,0.13804685
206,28743,1000,CuSe2Tl,ICSD,1.848133,0.13129999
207,1521988,1000,TeTl,COD,1.8474753,0.13943738
209,9008952,1000,SeTl,COD,1.8472879,0.14758216
214,58840,1000,Bi2Pd5,ICSD,1.8421751,0.14418219
217,2595,1000,GePtSe,ICSD,1.8408291,0.14564812
228,85682,1000,Au5KP2S8,ICSD,1.8339466,0.13757963
230,408442,1000,BiGa2Se4,ICSD,1.8334328,0.14008223
234,39931,1000,As10Br18Hg19,ICSD,1.830233,0.14248541
237,190987,1000,Au2Ga2In,ICSD,1.8281757,0.13985956
249,648842,1000,Pd5SeTl,ICSD,1.8231043,0.1393415
253,1532891,1000,Br2Hg3Se2,COD,1.8215655,0.14736612
268,1527527,1000,AsSe3Tl3,COD,1.81599,0.13336185
275,245518,1000,Bi12Br2Rh3,ICSD,1.8140433,0.14452516
282,411136,1000,Bi9I3Rh2,ICSD,1.8111893,0.13057245
283,411218,1000,BiBr7Hg6Sb4,ICSD,1.8110209,0.12774456
293,656152,1000,Cu2HgSiTe4,ICSD,1.8067204,0.12959653
296,85598,1000,Cs2Hg3S8Sn2,ICSD,1.8040718,0.13428152
308,423016,1000,Bi3IIn2Se7,ICSD,1.797921,0.13598707
309,391336,1000,Bi3Ni,ICSD,1.7976921,0.13569736
313,406636,1000,Bi7Br8Rh,ICSD,1.7953882,0.14934856
356,250250,1000,PbSb2Te4,ICSD,1.7806828,0.12986416
361,611388,1000,AsSe4Tl3,ICSD,1.7798321,0.12500878
