id,T,formula,database,zT_pred,zT_std,mp_id,source
191928,1000,Br2Cs2H2Hg2I4O,ICSD,2.4734437,0.23876432,mp-1193213,greedy
191929,1000,Cs2H2Hg3I8O,ICSD,2.4483733,0.24653757,mp-1105928,greedy
42664,1000,Bi8Se7,ICSD,2.1774638,0.17781904,mp-680214,both
9011943,1000,Bi4Se3,COD,2.127518,0.210363,mp-27607,both
616956,1000,BiPdSe,ICSD,2.1114326,0.16737777,mp-1095370,greedy
52725,1000,Bi,ICSD,2.088372,0.20624262,mp-568610,both
70060,1000,BiPdTe,ICSD,2.0861719,0.1733554,mp-29011,greedy
648365,1000,Pb2Pd3Se2,ICSD,2.0696259,0.17819159,mp-1078089,greedy
2204243,1000,Bi2Cs2Se5Zn,COD,2.0695388,0.1626518,,both
9008603,1000,BiSe,COD,2.0529122,0.1753417,mp-568844,both
32031,1000,AgAu3I8Rb2,ICSD,2.052618,0.18878284,mp-570536,greedy
165348,1000,CsPPbSe4,ICSD,2.0448744,0.15971234,mp-1193277,greedy
42665,1000,Bi8Se9,ICSD,2.0420501,0.16715308,mp-1190284,both
9013781,1000,Pb2Pd3Te2,COD,2.0419881,0.1697277,mp-605028,greedy
411771,1000,BrCuHgSe,ICSD,2.0386212,0.18247494,mp-567720,greedy
9013900,1000,Au2Bi,COD,2.0362408,0.17756408,mp-570113,greedy
651938,1000,Se3SnTl4,ICSD,2.032915,0.15956125,mp-1105814,greedy
415410,1000,As2Br3CuHg3,ICSD,2.0267467,0.14454985,mp-571268,greedy
7209416,1000,Au3LiSn4,COD,2.025747,0.15634285,mp-31301,greedy
1527696,1000,Bi3In5,COD,2.0246682000000003,0.17062828,mp-23180,greedy
261457,1000,Bi2Pd3Se2,ICSD,2.023784,0.13055961,mp-1103697,greedy
20386,1000,Bi3Se4,ICSD,2.022835,0.17452636,mp-542615,both
246145,1000,Bi4I,ICSD,2.0205495,0.19943105,mp-583234,both
39257,1000,Bi9I2,ICSD,2.0191207,0.16443408,mp-28149,both
9011203,1000,Bi4Te3,COD,2.0171013,0.16997683,mp-28229,both
153858,1000,Bi2ITe,ICSD,2.0152938,0.18647408,mp-23435,both
