,id,T,formula,database,zT_pred,zT_std
80063,77862,700,Pa,ICSD,19.692327,8.531602
57056,43569,700,Ce,ICSD,19.365686,9.23126
57056,43569,1000,Ce,ICSD,19.196291,11.738157
80425,54338,700,Pr,ICSD,18.57733,9.809966
80063,77862,1000,Pa,ICSD,18.412085,10.004488
80425,54338,1000,Pr,ICSD,17.45062,9.514317
81880,77702,700,U,ICSD,16.654423,9.0865345
77846,9008526,700,Nd,COD,15.808615,9.070057
77846,9008526,1000,Nd,COD,15.786534,7.9719214
81880,77702,1000,U,ICSD,15.687523,8.572742
78605,9008585,700,Np,COD,14.559229,10.02533
80734,2101456,1000,Pu,COD,14.427873,6.2417636
78605,9008585,1000,Np,COD,14.319673,8.06923
80734,2101456,700,Pu,COD,13.9221525,7.268011
81649,52482,1000,Sm,ICSD,12.650683,6.1696486
81649,52482,700,Sm,ICSD,12.454718,6.548188
2999,248475,700,Am,ICSD,12.035614,6.2331724
2999,248475,1000,Am,ICSD,11.474236,7.0826025
59593,622373,700,Cm,ICSD,11.337586,5.51503
59593,622373,1000,Cm,ICSD,11.061276,6.486188
65229,631240,1000,Eu,ICSD,10.788082,4.936454
65229,631240,700,Eu,ICSD,10.057099,5.4502764
68893,9015483,1000,Gd,COD,9.519009,5.1982174
68893,9015483,700,Gd,COD,9.436291,7.022731
66969,4113940,700,Fe,COD,8.511476,5.6724586
66969,4113940,1000,Fe,COD,8.041808,5.7059736
81765,52496,700,Tb,ICSD,6.756653,3.7855864
81765,52496,1000,Tb,ICSD,6.585321,3.7548661
60466,9004229,1000,CoFe,COD,6.284073,3.7310438
64295,9008494,1000,Dy,COD,5.6370254,3.2597587
59619,9012884,1000,Co,COD,5.5248704,4.1421504
64295,9008494,700,Dy,COD,4.874281,3.2011118
60466,9004229,700,CoFe,COD,4.8360467,4.9902334
59619,9012884,700,Co,COD,4.478916,3.4169812
4851,152090,1000,Au3LiNa2,ICSD,4.3210125,1.7330029
71364,638356,1000,H4Na2Pt,ICSD,3.761431,1.8148766
5348,1517938,1000,AuRb,COD,3.7413929,1.4238198
66803,415010,1000,FH2ORb,ICSD,3.7371888,0.6368556
72384,639321,1000,Ho,ICSD,3.7291672,2.1178758
4846,7209415,1000,Au3K2,COD,3.6861172,1.1946855
4819,1510492,1000,Au3Cu,COD,3.6654615,1.0771432
58325,29411,1000,Cl3CsH4Na2O2,ICSD,3.6438758,0.6658434
5070,1517937,1000,AuCs,COD,3.6333103,1.3728521
62241,415545,1000,Cs8OTl8,ICSD,3.6132617,0.49839476
80192,1512531,1000,Pd,COD,3.6069698,1.5673091
5083,1510102,1000,AuCsO,COD,3.5910754,0.48546058
5330,8101135,1000,AuORb,COD,3.5669346,0.4725281
54899,427055,1000,CH3CsN2O,ICSD,3.5632267,0.63035846
4861,1510510,1000,Au3Rb2,COD,3.5531113,1.2069166
5091,1510113,1000,AuCu,COD,3.5496182,1.325064
59367,92480,1000,ClH2HgN,ICSD,3.5283923,0.541166
59375,4315700,1000,ClH2O2Tm,COD,3.5278766,0.4758641
46060,39918,1000,C4H16N11O13Tm,ICSD,3.5265458,0.4351803
46450,300,1000,C4H6K2N4O3Pt,ICSD,3.5244493,0.6102525
38700,152108,1000,C2H3AuClN,ICSD,3.4935791,0.53827316
4744,2018869,1000,Au2K,COD,3.4902735,1.4271146
5081,62064,1000,AuCsK2O2,ICSD,3.4836123,0.5240154
5078,412194,1000,AuCsH3N,ICSD,3.4827936,0.5950657
4920,1510553,1000,Au5Cs7O2,COD,3.4823437,0.55887216
59280,4315696,1000,ClErH2O2,COD,3.481413,0.46611756
62326,421717,1000,CsF2H4N,ICSD,3.4636,0.41256607
61672,422187,1000,Cs10O4SiTl6,ICSD,3.4348142,0.48757094
10824,412583,1000,BiH8Na3O7,ICSD,3.4085956,0.491049
46466,976,1000,C4H6N4Na2O3Pt,ICSD,3.388627,0.624207
38709,7003211,1000,C2H3CsO,COD,3.3861446,0.5007462
54915,427054,1000,CH3N2ORb,ICSD,3.3838308,0.45245978
62455,2012559,1000,CsH3O2,COD,3.3836617,0.4623477
66412,415009,1000,F6H5O2Rb5,ICSD,3.378395,0.47035226
59368,4315695,1000,ClH2HoO2,COD,3.3716357,0.39024094
5092,9013496,1000,AuCu3,COD,3.3656821,1.2879848
15880,2209670,1000,C12H18Ho2O15,COD,3.3647377,0.45346403
61670,422188,1000,Cs10GeO4Tl6,ICSD,3.3587124,0.58650696
61671,422189,1000,Cs10O3SnTl6,ICSD,3.3502603,0.50176543
4941,1510569,1000,Au5O2Rb7,COD,3.3434384,0.48630047
61996,421716,1000,Cs3F3H12N4,ICSD,3.330316,0.49004376
45951,2204850,1000,C4H14ClErO9,COD,3.3298602,0.5761072
48263,151326,1000,C5H9ErN2O8,ICSD,3.3265426,0.5217681
49922,2208553,1000,C6H8ErO7,COD,3.3217406,0.44652188
4947,1510578,1000,Au6Cs4S5,COD,3.3036816,0.38196862
16040,2213609,1000,C12H20Ho2O19,COD,3.3003726,0.46719012
59376,4315698,1000,ClH2O2Yb,COD,3.2916665,0.43349087
49919,2208246,1000,C6H8DyO7,COD,3.2909906,0.4897668
64190,5910049,1000,CuPt,COD,3.2889783,1.2997215
5085,656712,1000,AuCsS,ICSD,3.2841184,0.533997
15683,2212559,1000,C12H16Er2O15,COD,3.2812378,0.50323725
21353,2224534,1000,C15H22ErO14,COD,3.2807238,0.4096753
4753,1510444,1000,Au2Na,COD,3.2752612,1.6391759
49191,8100042,1000,C6H16ErO11,COD,3.2726731,0.45898435
79681,7100942,1000,ORb5Tl3,COD,3.271829,0.56146824
55030,2006712,1000,CH6Cl5Hg2N3,COD,3.2709615,0.54383147
45780,2201356,1000,C4H12Br4N5Tl,COD,3.2692554,0.56152844
38773,2216761,1000,C2H4Cl2Pt,COD,3.2676685,0.4224031
25881,2225084,1000,C18H20ErN5O13,COD,3.2597961,0.49149847
59279,1530725,1000,ClErH,COD,3.2549791,0.44625115
61906,2268,1000,Cs2O2Pb,ICSD,3.253501,0.49526462
49022,2007105,1000,C6H13Cl3ErN3O2,COD,3.2528303,0.6724725
51945,4317106,1000,C8H14O13Pb6,COD,3.2464716,0.56606746
62452,65150,1000,CsH3Li2O3,ICSD,3.2457418,0.55235314
61950,413241,1000,Cs2Pt,ICSD,3.2349617,1.3291957
4858,1510508,1000,Au3O2Rb5,COD,3.2341933,0.4680491
51721,2205047,1000,C8H12Br4NTl,COD,3.2340574,0.5523301
65038,4031387,1000,ErH3O3,COD,3.2312787,0.4384408
48262,151327,1000,C5H9DyN2O8,ICSD,3.229113,0.61025286
4958,1510581,1000,Au6Rb4S5,COD,3.2240593,0.510238
11116,191928,1000,Br2Cs2H2Hg2I4O,ICSD,3.2058454,0.68456066
49920,2012708,1000,C6H8ErNO7,COD,3.1942096,0.48744768
59274,4315694,1000,ClDyH2O2,COD,3.1933618,0.49850756
55126,172202,1000,CHCsO2,ICSD,3.1931765,0.49021974
49908,171623,1000,C6H8CoErN6O4,ICSD,3.191769,0.6241424
4968,7209422,1000,Au7Rb3,COD,3.1872494,1.2781634
62447,2013922,1000,CsH2O2P,COD,3.178194,0.436343
72384,639321,700,Ho,ICSD,3.1772308,2.1078453
43441,162078,1000,C3H18Bi2I9N9,ICSD,3.1759727,0.54115945
49226,2012979,1000,C6H17DyO10,COD,3.1750638,0.4981276
66830,8267,1000,FHHgO,ICSD,3.1725085,0.45746577
38761,2208221,1000,C2H4AuN3S2,COD,3.164163,0.46774316
48256,7015632,1000,C5H9Cl2N3Pt,COD,3.1592345,0.48434055
62189,74933,1000,Cs5H4N6P,ICSD,3.1555002,0.537194
59407,9009482,1000,ClHOPb,COD,3.1544988,0.5167831
24766,2017380,1000,C17H25HoN6O8,COD,3.1528277,0.5490865
48788,2214723,1000,C6H10Br4N2Tl,COD,3.151112,0.49114993
38886,408904,1000,C2H6CsF2Ga,ICSD,3.1502204,0.6396909
71193,47115,1000,H3O2Rb,ICSD,3.1445627,0.36567214
61750,65942,1000,Cs2Fe2K4O5,ICSD,3.1445587,0.38674557
64192,108775,1000,CuPt7,ICSD,3.1430182,1.5053294
62462,50237,1000,CsH4N2O2P,ICSD,3.1421325,0.575019
4954,1510580,1000,Au6K4S5,COD,3.1396074,0.44952655
19460,2211878,1000,C14H19ErN2O14,COD,3.1383238,0.5432899
21654,2001143,1000,C15H33Cl3ErN3O24,COD,3.1373105,0.67568433
4817,1510489,1000,Au3CsS2,COD,3.1367157,0.4796157
974,1509516,1000,AgPt3,COD,3.1305346,1.1376104
53238,2007833,1000,C9H12BiCl3,COD,3.1285737,0.5895401
77587,2020042,1000,NaPt2,COD,3.127439,1.4818785
5246,1510204,1000,AuKS,COD,3.1240728,0.43004763
62325,45858,1000,CsF2H,ICSD,3.1209207,0.41525877
48740,86650,1000,C6Cs3N6NaRe6Se8,ICSD,3.1186886,0.5373575
19081,2221268,1000,C14H15N2O12Tm,COD,3.118415,0.5281862
62161,422336,1000,Cs4OTl2,ICSD,3.1177728,0.5217878
48165,4060235,1000,C5H7O2Tl,COD,3.1176038,0.5420065
48174,4060115,1000,C5H8AuClN2,COD,3.1154132,0.5535839
4886,85583,1000,Au4CdK2S4,ICSD,3.1138031,0.39383078
71266,73152,1000,H4K2N2O2Si,ICSD,3.113703,0.49370053
5351,1510281,1000,AuRbS,COD,3.1111298,0.4845605
45923,2218672,1000,C4H13I4N3Pb2,COD,3.110814,0.5794844
71787,192169,1000,HIOPb,ICSD,3.110041,0.49983853
43300,110206,1000,C3H10Cl5Hg2N,ICSD,3.1090436,0.55217516
71544,251042,1000,H6Na2O6Pt,ICSD,3.10904,0.3327897
51236,2001505,1000,C7H8Cs2O7,COD,3.107124,0.5578027
53152,2207043,1000,C9H11Cl3N6Pt,COD,3.106401,0.5915755
43663,170635,1000,C3H6AuNO,ICSD,3.1058784,0.57818747
19465,2215038,1000,C14H19HoN2O14,COD,3.1038222,0.5887407
4851,152090,700,Au3LiNa2,ICSD,3.102353,1.2362117
71809,81301,1000,HK6Na15Tl18,ICSD,3.1012456,0.58417594
11700,404573,1000,BrHOPb,ICSD,3.0996659,0.41350973
71476,92466,1000,H6K2O6Pb,ICSD,3.0982068,0.39134598
62468,36633,1000,CsH5O3,ICSD,3.0953918,0.39355597
63251,5910117,1000,Cu3Pt,COD,3.092625,1.0934788
62071,411893,1000,Cs3NaPb4,ICSD,3.089532,0.530637
12150,2213746,1000,C10H12Br4N2Pb,COD,3.0892773,0.5920505
59285,427476,1000,ClEu2H3,ICSD,3.0865817,0.490528
46108,2202404,1000,C4H20Cl3N8O6Tb,COD,3.0860767,0.6752577
71249,2216090,1000,H4I3NPb,COD,3.0828912,0.44238895
45849,249145,1000,C4H12Hg2I5N,ICSD,3.0785499,0.64141715
16171,2218075,1000,C12H23Bi2Cl9N12O4,COD,3.0783014,0.56956255
24404,7205380,1000,C17H19DyO15,COD,3.074898,0.46847346
10715,68226,1000,BiCl8F4H3K6,ICSD,3.074548,0.4691947
5004,2200198,1000,AuBr4H4NaO2,COD,3.0740638,0.54448295
5091,1510113,700,AuCu,COD,3.0733666,1.2479751
45935,187249,1000,C4H14BiCl5N8O2,ICSD,3.0717795,0.63657176
11483,415713,1000,Br6H10O5Pb2Sr,ICSD,3.0696197,0.46402922
49217,2210702,1000,C6H16O11Yb,COD,3.0693665,0.4770483
54950,425941,1000,CH4CsN3,ICSD,3.0690572,0.5936253
10709,2220381,1000,BiCl5H4K2O2,COD,3.0686371,0.4779138
61876,33870,1000,Cs2Na3O4Tl,ICSD,3.0686371,0.3844801
46409,2011072,1000,C4H6AuN3S,COD,3.0683656,0.5313469
4850,1510505,1000,Au3Li,COD,3.0633185,1.1365634
54902,188659,1000,CH3FK2O4,ICSD,3.058558,0.53523195
38569,110409,1000,C2H16HoNO12S2,ICSD,3.0567074,0.5809504
45853,2012541,1000,C4H12I3O2S2Tl,COD,3.0536213,0.5227499
49383,281515,1000,C6H24Bi2Cl9N3,ICSD,3.0515826,0.4828257
20909,2218640,1000,C15H16DyO11,COD,3.050981,0.41280818
5241,61226,1000,AuKNa2O2,ICSD,3.0495083,0.47567946
71123,4031386,1000,H3HoO3,COD,3.0489175,0.41164765
49733,260302,1000,C6H6FeK4N6O3,ICSD,3.0488997,0.6388812
4819,1510492,700,Au3Cu,COD,3.0462785,1.351808
24763,2017379,1000,C17H25DyN6O8,COD,3.0462039,0.49875438
51308,7205906,1000,C7H9BiI4N,COD,3.045796,0.55065817
20973,2010782,1000,C15H17BiCl5N3,COD,3.044559,0.5932268
46003,2206718,1000,C4H16BiCl6N3,COD,3.0420492,0.48137265
47702,165653,1000,C5H14HoN2O9,ICSD,3.0404425,0.5070753
43433,2001624,1000,C3H17Cl3HoNO8,COD,3.0380273,0.6750936
19080,2221269,1000,C14H15N2O12Tb,COD,3.0353405,0.5568523
55037,411685,1000,CH6Cs2O6,ICSD,3.0341766,0.4153574
21341,2006279,1000,C15H22B11Br6Tl,COD,3.0332947,0.5264213
43632,2005582,1000,C3H5KO4,COD,3.0326774,0.54618585
59374,4315693,1000,ClH2O2Tb,COD,3.0321648,0.44248086
74142,77382,1000,K2OPb2Si2,ICSD,3.0301952,0.5160617
55163,110364,1000,CHO2Tl,ICSD,3.0291257,0.39891738
46445,418607,1000,C4H6HgN4O2,ICSD,3.0289183,0.49906477
45936,422348,1000,C4H14BiN5OS8,ICSD,3.024645,0.5245667
25880,2224420,1000,C18H20DyN5O13,COD,3.0243323,0.47195336
5294,411460,1000,AuNa2O2Rb,ICSD,3.022913,0.48891476
54908,427053,1000,CH3KN2O,ICSD,3.0224576,0.5668529
