id,formula,database,T,zT_pred
191928,Br2Cs2H2Hg2I4O,ICSD,1000,2.7608829
191929,Cs2H2Hg3I8O,ICSD,1000,2.482303
1525466,CdPo,COD,1000,2.4339485
191928,Br2Cs2H2Hg2I4O,ICSD,700,2.4129517
4112588,Bi4CsTe6,COD,1000,2.3594775
7209388,AuI3K,COD,1000,2.3392186
2206809,AuI3Rb,COD,1000,2.3254626
85582,AuCdRbS2,ICSD,1000,2.3177009
1510569,Au5O2Rb7,COD,1000,2.2752252
1529983,HgI3K,COD,1000,2.2691636
426197,H2HgI3KO,ICSD,1000,2.2569745
58983,Cd2Hg,ICSD,1000,2.2541049
1510490,Au3CsSe2,COD,1000,2.252636
85583,Au4CdK2S4,ICSD,1000,2.2429757
380341,AuBiK2,ICSD,1000,2.2168007
380340,AuK2Sb,ICSD,1000,2.2113528
4312035,CsHoTe3Zn,COD,1000,2.209985
86314,I3RbYb,ICSD,1000,2.204141
4503568,Cs2Hg3I8,COD,1000,2.2024024
416973,As2CdHg4I4,ICSD,1000,2.185132
9008155,HgI2,COD,1000,2.1776652
1510504,Au3K3Sb2,COD,1000,2.1758494
85581,AuCdCsS2,ICSD,1000,2.172344
69438,KPt2Se3,ICSD,1000,2.1717982
417039,As4Br6CdHg6,ICSD,1000,2.1671295
109010,BrHgI,ICSD,1000,2.1518571
2006239,AuCsI3,COD,1000,2.1265993
420622,Cd2KSb3Yb2,ICSD,1000,2.118829
413681,CsCu3Se5Tm2,ICSD,1000,2.1184525
153603,Br3CsHg,ICSD,1000,2.1174476
9004221,HgPd,COD,1000,2.116111
7100873,Bi3CsSe5,COD,1000,2.1138895
69439,Pt2RbSe3,ICSD,1000,2.11334
9003557,AgAuTe2,COD,1000,2.1120722
42708,Bi2Pb2Te5,ICSD,1000,2.111711
656155,Cu2GeHgTe4,ICSD,1000,2.111309
658704,Bi2Cs2Ni,ICSD,1000,2.1080265
413680,CsCu3Se5Tb2,ICSD,1000,2.1054626
9001316,AgBiTe2,COD,1000,2.1051037
83633,Hg3Rb2Te4,ICSD,1000,2.10508
9009816,BrHg3ITe2,COD,1000,2.1046743
4319348,Hg5Rb4Te13,COD,1000,2.1033912
1522860,Pt2Sn3,COD,1000,2.1024258
40376,AuI2K5O2,ICSD,1000,2.1007597
9016417,HgI,COD,1000,2.0986745
9012390,BiPbPd2,COD,1000,2.0981503
37099,I4Tl2Zn,ICSD,1000,2.0965245
4312036,CsErTe3Zn,COD,1000,2.088362
611766,AuCu3Sn,ICSD,1000,2.0881183
415012,Bi2I9Tl3,ICSD,1000,2.083175
4000659,GeHgTe4Tl2,COD,1000,2.0766048
1510107,AuCsTe,COD,1000,2.0718572
604364,Bi2EuPd2,ICSD,1000,2.0695581
2105659,Br4Cs2Hg,COD,1000,2.0690653
658703,Bi2Cs2Pd,ICSD,1000,2.0677857
32031,AgAu3I8Rb2,ICSD,1000,2.0643322
411771,BrCuHgSe,ICSD,1000,2.0637429
410814,As4Hg7I6Sn,ICSD,1000,2.0606298
4312034,CsTbTe3Zn,COD,1000,2.0598543
413677,CsCu3Ho2Se5,ICSD,1000,2.0591571
33700,As4Bi2Br12Hg9,ICSD,1000,2.0590298
95029,CuEr2KSe4,ICSD,1000,2.0533452
4000658,CdSnTe4Tl2,COD,1000,2.0521102
1510205,AuKSe,COD,1000,2.0514987
1524674,CdPt2Zn,COD,1000,2.0506322
9011582,Au2Te3,COD,1000,2.049244
413300,Ag2HgI2S,ICSD,1000,2.04913
1510367,AuBr3Rb,COD,1000,2.0487337
1510105,AuCsSe3,COD,1000,2.0481951
4304502,Au3KSn3,COD,1000,2.0465035
7222183,CdSbTl,COD,1000,2.0459983
240477,Co2CsEr13I24,ICSD,1000,2.0439644
1523008,BiITe,COD,1000,2.042924
4304178,CdCsSmTe3,COD,1000,2.041715
43512,Bi2SeTe2,ICSD,1000,2.041471
2310403,BiTe2Tl,COD,1000,2.0402143
4304173,CdCsHoTe3,COD,1000,2.034875
96686,Cu3Er2RbSe5,ICSD,1000,2.033158
413682,CsCu3Se5Yb2,ICSD,1000,2.0328755
422189,Cs10O3SnTl6,ICSD,1000,2.0316544
4116198,Bi2Cs3,COD,1000,2.0315528
4002338,Bi8Cs2Se13,COD,1000,2.0312996
7221237,HgNi,COD,1000,2.0295815
627936,Cu2HgSe4Sn,ICSD,1000,2.026836
262688,ClCs6Ho21Te34,ICSD,1000,2.0260303
4334059,Cd4Pt2Sr,COD,1000,2.0209365
171727,BiCdISe2,ICSD,1000,2.0188832
616577,BiCu,ICSD,1000,2.0184412
95028,CuHo2KSe4,ICSD,1000,2.0183232
1510246,AuNaTe,COD,1000,2.017058
9012535,Cu7Hg6,COD,1000,2.0137002
58654,BaHg,ICSD,1000,2.012094
391381,AuSbTl,ICSD,1000,2.009817
4322048,Bi6Cs7In4,COD,1000,2.006266
408685,Au2Cs2S4Sn,ICSD,1000,2.003993
413675,CsCu3Er2Se5,ICSD,1000,2.0039403
5910260,Hg2I3NaO2,COD,1000,2.0026276
4312037,CsTe3TmZn,COD,1000,2.0016882
4317674,CsErSe3Zn,COD,1000,2.0016403
191094,BiCu2KS3,ICSD,1000,1.9998099
656158,Cu2HgSnTe4,ICSD,1000,1.999798
1010945,HgTe,COD,1000,1.9980348
424033,Au4CaCd2,ICSD,1000,1.9967468
413674,CsCu3Dy2Se5,ICSD,1000,1.9955837
42707,Bi4PbTe7,ICSD,1000,1.9944031
4304180,CdCsTe3Tm,COD,1000,1.9933197
102052,CdPt,ICSD,1000,1.9926555
1526210,Cs2HgI4,COD,1000,1.9912071
4304501,Au4KSn6,COD,1000,1.9902093
620549,CdTe4Tl2,ICSD,1000,1.9892573
2010577,BiISe,COD,1000,1.9882619
76649,BiBrSe,ICSD,1000,1.9880756
1510553,Au5Cs7O2,COD,1000,1.9855658
60491,ITl,ICSD,1000,1.9830912
240040,Cs5Hg19,ICSD,1000,1.9808922
240354,AsBrCdHg,ICSD,1000,1.9806701
174372,Cu3Er2KSe5,ICSD,1000,1.9802356
8103427,AuK3Se2,COD,1000,1.9785603
240037,Hg20Rb3,ICSD,1000,1.9777384
154695,Pt29Zn49,ICSD,1000,1.9750595
639159,HgRb6Se4,ICSD,1000,1.9745591
94403,Dy3I12K5,ICSD,1000,1.9742928
161482,I3PbRb,ICSD,1000,1.9742049
262687,ClCs6Dy21Te34,ICSD,1000,1.9735112
415410,As2Br3CuHg3,ICSD,1000,1.9724057
7209319,AgBiK2,COD,1000,1.9713849
82788,Br4Hg3Te,ICSD,1000,1.9654553
1510489,Au3CsS2,COD,1000,1.9616373
1510182,AuITe,COD,1000,1.9610639
4000819,Hg3Te4Tl2,COD,1000,1.9607145
656712,AuCsS,ICSD,1000,1.960161
89018,HgRbSbSe3,ICSD,1000,1.9595568
74921,Hg5I6Sb2,ICSD,1000,1.9570352
418849,Cs2Hg27,ICSD,1000,1.9569864
4339090,Au4In6Rb,COD,1000,1.9561404
58982,CdHg2,ICSD,1000,1.9560102
174374,Cu4Dy4K2Se9,ICSD,1000,1.955954
50534,Bi3K3Na2Sn,ICSD,1000,1.9546882
1510296,AuSe,COD,1000,1.9519342
1510260,AuORb3,COD,1000,1.9518079
411893,Cs3NaPb4,ICSD,1000,1.951767
174373,Cu3KSe5Tm2,ICSD,1000,1.9512987
415130,Bi4Br4Ga,ICSD,1000,1.9505962
