index,id,T,formula,database,zT_pred,zT_std
0,9008458,700,Ac,COD,0.31226117751766,0.22931767798732852
0,9008458,1000,Ac,COD,0.43505312664732326,0.30216244492635613
1,2310018,700,Ac2O3,COD,0.11786317357338723,0.14085456572577296
1,2310018,1000,Ac2O3,COD,0.1680622867251126,0.1537833546463443
2,2310013,700,AcBr3,COD,1.0903370104980845,0.5666612279917963
2,2310013,1000,AcBr3,COD,1.3423814872395665,0.6692449750642376
3,2310012,700,AcBrO,COD,0.2010794885761725,0.2328608753991121
3,2310012,1000,AcBrO,COD,0.2687423726400788,0.3096406418770119
4,2310015,700,AcCl3,COD,0.21335059896618785,0.21679195830041872
4,2310015,1000,AcCl3,COD,0.25984694119737983,0.26118111341262173
5,2310014,700,AcClO,COD,0.2065839116283668,0.23243273510475232
5,2310014,1000,AcClO,COD,0.26839102420978406,0.3005206890368187
6,56392,700,AcH2,ICSD,0.27340620012705535,0.2684402054944297
6,56392,1000,AcH2,ICSD,0.35170212119172345,0.3152130817004943
7,1509145,700,Ag,COD,0.6476466464764892,0.457995177613352
7,1509145,1000,Ag,COD,0.8170083307491681,0.503677306133203
8,4001324,700,Ag10Br3Te4,COD,0.9254857145825534,0.36249113788919346
8,4001324,1000,Ag10Br3Te4,COD,1.1764732470144292,0.3373862717175043
9,1509618,700,Ag10O13Si4,COD,0.11103275246910094,0.1403704572910866
9,1509618,1000,Ag10O13Si4,COD,0.18766561082704628,0.24071810197685958
10,391344,700,Ag11KO16V4,ICSD,0.1592058172966004,0.2472569499190262
10,391344,1000,Ag11KO16V4,ICSD,0.2162033047508683,0.30833443069723787
11,420671,700,Ag13As3I4O12,ICSD,0.2087891969408981,0.23218352463064937
11,420671,1000,Ag13As3I4O12,ICSD,0.3393624259491245,0.3533171907650266
12,1509630,700,Ag13O6Os,COD,0.2415080406613952,0.3102409038768698
12,1509630,1000,Ag13O6Os,COD,0.3557079375613168,0.4011589768501702
13,416586,700,Ag15Cl3P4S16,ICSD,0.18822033768450197,0.20805151448964676
13,416586,1000,Ag15Cl3P4S16,ICSD,0.283880227408259,0.3148494020716321
14,1509634,700,Ag16Ca6N,COD,0.27067523173536745,0.24223962776291227
14,1509634,1000,Ag16Ca6N,COD,0.42851281370661387,0.3540564350300885
15,1509638,700,Ag17Mg54,COD,0.21040308646359568,0.208799541811433
15,1509638,1000,Ag17Mg54,COD,0.3275476733381899,0.28725335677384534
