orig_index,T,formula,database,id,rho_pred,seebeck_pred,kappa_pred,zT_pred,rho_var,seebeck_var,kappa_var,zT_var,rho_std,seebeck_std,kappa_std,zT_std,rough_correlation
79723,700,OZn,COD,9008877,2.00771,0.999593,315658,1.00522,9.72235,8.51616e-09,7.03719e+28,0.0018369,3.11807,9.2283e-05,2.65277e+14,0.042859,34.7295
68215,700,Ga2O3,COD,2004987,1.00064,0.999986,238.827,1.08738,3.13174e-06,7.03006e-08,4.79389e+10,0.0104435,0.00176967,0.000265143,218950,0.102194,51.9341
63205,700,Cu3Mn4O12Pr,ICSD,153867,1.00036,0.99988,44.9844,1.02619,2.38945e-06,2.01559e-08,748500,0.00236092,0.00154579,0.000141971,865.159,0.0485893,52.321
73114,700,In2O3,ICSD,181835,1.00023,0.999806,50.9809,1.06308,8.90858e-07,5.65725e-10,223.852,0.00234471,0.000943853,2.3785e-05,14.9617,0.0484222,53.8171
61311,700,CrCuO2,ICSD,82065,1.05466,1.00067,131.12,1.00331,0.0188837,1.7171e-08,16406.8,6.99301e-06,0.137418,0.000131038,128.089,0.00264443,55.1826
145905,1000,CuMnO2,COD,9011834,1.02296,0.999821,117.053,1.00883,0.00158392,3.30805e-08,2.68386e+06,9.07999e-05,0.0397985,0.000181881,1638.25,0.0095289,55.2516
76428,700,MnNiO3,ICSD,31853,1.15781,0.999699,103.483,1.01962,0.331931,1.67692e-08,5.51858e+07,0.000308954,0.576134,0.000129496,7428.71,0.0175771,55.3459
55765,700,Ca4Fe9O17,ICSD,32698,1.00064,1.00023,13.9377,1.08598,2.58293e-06,1.05523e-07,4755.52,0.0203716,0.00160715,0.000324843,68.9603,0.142729,55.4763
161101,1000,O4Sr2Ti,COD,1517788,1.00022,0.999846,13.195,1.12142,7.85012e-07,3.70526e-09,407.991,0.0025583,0.000886009,6.08708e-05,20.1988,0.0505797,55.815
161044,1000,O4PdZn2,ICSD,30076,1.02419,0.99982,169.06,1.06296,0.0280065,7.06955e-08,1.08133e+10,0.0155344,0.167352,0.000265886,103987,0.124637,57.5118
55958,700,CaCu3O12Ru4,ICSD,183110,1.00026,0.999904,45.7999,1.12871,1.16767e-06,1.87869e-08,3.81028e+07,0.0339135,0.00108059,0.000137065,6172.75,0.184156,57.8146
149278,1000,Fe3O4,COD,9002674,1.06339,1.00024,35.9601,1.07899,0.0953492,1.4017e-07,7786.06,0.0304009,0.308787,0.000374392,88.2386,0.174359,58.2626
64050,700,CuNd2O4,ICSD,86754,1.00308,0.999807,377.25,1.00957,5.60189e-05,5.53547e-08,1.40416e+25,0.000198194,0.00748458,0.000235276,3.74721e+12,0.0140781,58.827
145118,1000,Cu3Mn4O12Pr,ICSD,153867,1.00036,0.999906,28.3289,1.04284,2.38945e-06,1.62542e-08,62492.1,0.00307587,0.00154579,0.000127492,249.984,0.0554606,60.0943
76208,700,Mn2O7Sr3,ICSD,51217,1.00095,0.999879,19.4383,1.05579,2.63904e-05,7.7704e-09,39382.4,0.00158414,0.00513716,8.81499e-05,198.45,0.0398012,60.1999
