formula,database,id,T,rho_pred,seebeck_abs_pred,kappa_pred,zT_pred,rho_var,seebeck_abs_var,kappa_var,zT_var
Ag2GeIn2Se6,ICSD,88168,700,7.2101e-05,0.000198029,0.95232,1.05466,0.457999,4.38574e-09,3.58874,0.44554
Ag2HgSe4Sn,ICSD,95094,700,0.00012433,0.000210382,0.895017,1.10103,60.1929,5.5348e-09,1.87849,0.546188
AgAsSe,ICSD,604753,700,9.88687e-05,0.000195104,0.877531,1.01845,4977.59,3.66858e-09,0.591585,0.101144
AgBiSe2,COD,9011022,700,5.38488e-05,0.000200824,0.873962,1.09543,0.00951821,4.98963e-09,1.93523,0.152465
AgBiTe2,COD,9001316,700,3.89697e-05,0.000218585,0.733101,1.09319,0.000301642,4.90398e-09,3.88835,0.104182
AgCdSb,COD,1509176,700,0.000144077,0.000202907,0.517382,1.05137,3918.32,8.10303e-09,0.268967,0.127762
AgGaSe2,COD,1509351,700,7.56604e-05,0.000196655,0.771797,1.05809,0.00778216,6.89014e-09,2.63792,0.10806
AgIn5Se8,COD,1509418,700,8.10375e-05,0.000196343,1.22283,1.09326,0.392628,4.83572e-09,9.92608,0.120938
AgIn5Te8,ICSD,151871,700,8.79356e-05,0.000214979,1.67718,1.2256,3.79747,6.19763e-09,11.688,0.0681438
AgInSe2,COD,1509408,700,6.95983e-05,0.000203884,0.841332,1.01181,0.00521636,5.40859e-09,2.60609,0.392108
AgInTe2,COD,1509413,700,0.000147343,0.000225586,1.1482,1.1415,175.584,6.66582e-09,8.70077,0.685533
AgPb4Pd6,ICSD,605653,700,9.08857e-05,0.00024145,3.5883,1.15329,0.00326726,8.49229e-09,22.7008,0.695652
AgSe27Ti6Tl5,COD,4000527,700,3.08391e-05,0.000178669,1.36995,1.05564,2.08193e-05,6.58499e-09,7.26009,0.278326
AgSe2Tl,COD,1509541,700,0.000251405,0.00022588,0.781685,1.17445,27908.1,6.87208e-09,2.37599,0.630166
AgSeTl,COD,1509539,700,0.000574327,0.000234268,0.647536,1.2954,1.67613e+10,7.09783e-09,1.10733,0.20729
AgTe2Tl3,COD,7209352,700,0.000283854,0.000268509,0.752571,1.27493,987.178,6.41993e-09,2.60725,0.0573171
AgTeTl,COD,1509557,700,0.000635642,0.000269227,0.616841,1.28918,1.87205e+08,6.73782e-09,2.17627,0.0464282
AlSe2Tl,COD,7221238,700,8.584e-05,0.000222259,1.27354,1.07954,0.0271051,1.21802e-08,12.3426,0.342052
As2CdGe,ICSD,16736,700,3.02352e-05,0.000198958,1.30324,1.17329,1.15836e-07,6.71628e-09,3.16917,0.0800523
As2CdSn,ICSD,22182,700,2.7885e-05,0.00019298,1.34009,1.18655,3.63156e-08,6.44718e-09,3.80493,0.0711879
As2Ge2Te5,ICSD,68112,700,1.16143e-05,0.00017879,2.44325,1.07256,1.64814e-09,1.72383e-08,14.0338,0.119146
As2Ge3Te6,ICSD,68113,700,1.26135e-05,0.000183005,2.48502,1.0696,7.87038e-10,1.4357e-08,14.4205,0.118985
As2Ge4Te7,ICSD,68114,700,1.41841e-05,0.000191624,2.52046,1.07541,8.49736e-10,1.03905e-08,14.1401,0.108087
As2Ge5Te8,ICSD,63174,700,1.42153e-05,0.000192171,2.6769,1.07463,8.50859e-10,1.05037e-08,18.5608,0.108096
As2GeTe4,ICSD,68111,700,1.16202e-05,0.000179055,2.52467,1.08039,1.29447e-09,1.7332e-08,14.5088,0.0990769
As2SnZn,COD,2310651,700,2.77746e-05,0.000194239,1.35019,1.17095,4.48993e-08,6.66946e-09,4.41032,0.0800547
As3Sn4,COD,1010003,700,1.8376e-05,0.000162667,1.4228,1.09619,1.0315e-09,1.37683e-08,2.4045,0.093487
As4Cd2Ge,ICSD,42132,700,3.43618e-05,0.000202463,1.27685,1.16663,9.80329e-08,7.43838e-09,2.26407,0.075704
As4GeTe7,ICSD,41107,700,1.11784e-05,0.000178841,2.55326,1.07919,1.15422e-09,1.71477e-08,14.0354,0.0987903
AsIn,COD,9008851,700,3.21595e-05,0.000187252,1.06548,1.06768,5.69109e-09,7.34214e-09,2.22378,0.0811568
AsPd5Tl,ICSD,23540,700,0.000155099,0.000216197,4.28949,1.11489,1.8638,2.28348e-08,10.6507,0.695826
AsSe2Tl,ICSD,412790,700,7.86657e-05,0.000228506,2.14755,1.11486,7.04538e-05,1.37227e-08,71.13,0.187448
AsSe3Tl3,COD,1527527,700,0.000127291,0.000234276,1.03683,1.17956,0.127605,1.21793e-08,6.64543,0.208026
AsSe4Tl3,ICSD,611388,700,9.84075e-05,0.000235617,1.34016,1.18229,0.00104155,1.35305e-08,11.5092,0.20025
AsSn,COD,9008723,700,1.82121e-05,0.000164583,1.40969,1.08403,9.41026e-10,1.46221e-08,2.29043,0.0880617
Au5Sn,COD,1510571,700,6.001e-05,0.000200905,1.04252,1.03225,3.59794e-06,2.62325e-08,4.95911,0.332843
AuCdSb,COD,1510079,700,0.000136392,0.000234843,0.53368,1.106,3494.87,1.00553e-08,0.317599,0.133179
AuCu3Sn,ICSD,611766,700,0.000153561,0.000215776,0.808782,1.16189,329.364,3.97778e-08,1.76837,0.174868
AuCuSn,ICSD,611768,700,0.00047037,0.00023283,0.822047,1.27154,7.74164e+08,6.18831e-09,1.86074,0.116598
AuNi2Sn4,ICSD,150127,700,6.48357e-05,0.000204501,1.96136,1.28952,0.024675,7.86364e-09,1.95391,0.0572148
AuSbTl,ICSD,391381,700,0.000216326,0.000233141,0.921651,1.18166,661632,9.81005e-09,2.48411,0.137978
AuSe3Tl4,ICSD,612311,700,0.000106992,0.000220205,0.901742,1.26607,0.208775,5.41542e-09,1.617,0.239907
AuSn,COD,1510301,700,0.000118245,0.00022168,0.861613,1.18522,0.0121612,9.76323e-09,6.53754,0.132979
AuSn2,COD,1510306,700,6.38382e-05,0.000229813,1.52528,1.25276,0.125184,6.08898e-09,5.28403,0.052664
AuSn4,COD,1510307,700,4.25201e-05,0.000213998,1.45762,1.16977,0.000136325,1.38242e-08,3.20754,0.0841475
BaPb6Rh3,ICSD,58669,700,2.88099e-05,0.000154674,1.57803,1.07602,9.65041e-08,9.11165e-09,2.62241,0.845508
Bi23V4,ICSD,77842,700,9.33007e-05,0.000228971,1.25148,1.05036,5.90752,2.30485e-08,1.64563,0.11227
Bi2MnSe4,ICSD,603311,700,4.82336e-05,0.000228147,1.39761,1.09689,2.96885e-05,1.12227e-08,5.80961,0.184112
Bi2Pb2Te5,ICSD,42708,700,1.53092e-05,0.000248402,2.05858,1.02337,2.95409e-09,1.23551e-08,6.07274,0.722179
Bi2PbTe4,ICSD,616936,700,1.50735e-05,0.000241959,2.03817,1.013,2.71957e-09,1.43961e-08,5.71235,0.704909
Bi2Pd,COD,9012857,700,6.75676e-05,0.000245227,0.759856,1.03663,0.000775468,1.17791e-08,5.02076,0.835606
Bi2Se2Te,COD,9004849,700,4.37407e-05,0.000222599,2.25776,1.07011,0.0155833,1.5292e-08,15.009,0.917022
Bi2SeTe2,ICSD,43512,700,3.61214e-05,0.000217183,2.28303,1.06036,0.208574,1.91151e-08,8.8665,0.910678
Bi2Tl,ICSD,58864,700,6.76935e-05,0.000167713,1.26623,1.05896,2.50703e-05,1.43026e-08,3.20475,0.237161
Bi3In4Pb,ICSD,616725,700,8.88611e-05,0.000276937,0.834167,1.18414,8.15735e-05,1.02011e-08,1.07454,0.119387
Bi3In5,COD,1527696,700,0.0001185,0.000262401,0.909614,1.16269,0.00644656,1.17256e-08,1.64637,0.0995055
Bi4CsTe6,COD,4112588,700,2.30499e-05,0.000157925,1.25284,1.0302,4.38238e-09,8.3167e-09,0.218998,0.145297
Bi4Cu4Mn3,ICSD,616588,700,3.49144e-05,0.000207771,1.07987,1.10382,0.000524627,6.10439e-09,4.77513,0.791558
Bi4PbTe7,ICSD,42707,700,1.2896e-05,0.00023851,2.05112,1.00767,1.32468e-09,1.47617e-08,5.81721,0.705717
Bi4SnTe7,ICSD,236253,700,1.45251e-05,0.000234929,2.18122,1.09384,1.59103e-09,1.52167e-08,5.14236,0.0889567
Bi6PbTe10,COD,1531626,700,1.28881e-05,0.000237305,2.01195,1.00767,1.3223e-09,1.45198e-08,5.32387,0.705717
BiCu,ICSD,616577,700,0.000115945,0.000206194,0.476523,1.0827,0.0182148,3.6229e-08,0.520503,0.720115
BiGa2Se4,ICSD,408442,700,0.000112864,0.000239573,2.42771,1.04404,0.043694,1.1071e-08,58.0995,0.165265
BiIn,COD,1527695,700,0.000125966,0.000265948,0.976556,1.1841,0.00500082,1.15035e-08,1.74331,0.0883374
BiIn2,COD,1527697,700,9.58289e-05,0.000267803,0.919657,1.14256,5.26439e-05,1.12984e-08,1.87913,0.0912668
BiNiSe,ICSD,616878,700,5.09838e-05,0.000234185,2.68894,1.09014,0.00793893,1.15813e-08,7.75051,0.151911
BiPb3Pt,ICSD,58834,700,5.03616e-05,0.000176964,1.64997,1.18967,3.9385e-05,6.11652e-09,5.53821,0.736407
BiPd,COD,9004224,700,7.35594e-05,0.00018028,3.54373,1.04217,3.11001e-05,2.10376e-08,33.5513,0.942254
BiPdTe,ICSD,70060,700,5.07354e-05,0.000237796,2.34976,1.03427,5.23976e-05,9.55396e-09,18.0101,0.884229
BiPtSe,ICSD,616991,700,4.15445e-05,0.000202074,1.39371,1.0123,0.00115698,5.47924e-09,8.13578,0.945565
BiPtTe,ICSD,42549,700,4.4941e-05,0.000217058,1.30197,1.00321,0.000145785,6.10597e-09,8.48617,0.791438
BiSe2Tl,ICSD,617113,700,0.000120299,0.00023462,2.01603,1.12825,0.0601556,1.42452e-08,44.9635,0.179654
BiTe2Tl,COD,2310403,700,4.79176e-05,0.000278917,1.84478,1.06993,7.87298e-08,6.62814e-09,9.05116,0.0798629
BiTl,ICSD,53967,700,7.20836e-05,0.000174664,0.816436,1.06975,8.91048e-06,1.58508e-08,1.4538,0.245734
BiZn,COD,7221256,700,5.6599e-05,0.000281604,0.681079,1.17212,1.84015e-05,1.06548e-08,0.225912,0.0938244
Ca3Ir4Sn13,ICSD,619385,700,1.87932e-05,0.000244582,2.08659,1.14114,5.84101e-10,5.54388e-09,1.32016,0.962408
CaGa2Se4,ICSD,24387,700,4.6743e-05,0.000197573,0.909798,1.00672,3.56e-06,7.7477e-09,2.36985,0.221308
CaPb3,COD,5910096,700,9.75294e-05,0.000254786,1.56091,1.11189,0.000321264,4.4893e-08,1.65875,0.923317
Cd13In26Se54,ICSD,43035,700,0.000112108,0.000204375,1.03012,1.04682,0.481978,8.96612e-09,2.67158,0.141274
