formula,database,id,T,rho_pred,seebeck_abs_pred,kappa_pred,zT_pred,rho_var,seebeck_abs_var,kappa_var,zT_var
AgCdSb,COD,1509176,700,0.00014407712344533346,0.00020290712446094077,0.5173819355664299,1.051372161638149,3918.320335499029,8.103027606764333e-09,0.2689668562857824,0.12776183505700733
AuNi2Sn4,ICSD,150127,700,6.483569401728846e-05,0.00020450051867648708,1.9613584725104012,1.2895221861972173,0.024675035985803135,7.863636535418734e-09,1.953905207376339,0.05721480615721234
Bi23V4,ICSD,77842,700,9.330072877722705e-05,0.00022897084104945295,1.2514823497163026,1.050356800462347,5.907523963220861,2.3048470520950654e-08,1.6456279734311337,0.11226983465713175
BiNiSe,ICSD,616878,700,5.098383995904511e-05,0.00023418516307023454,2.6889404835266935,1.0901371487500269,0.007938928670827003,1.1581293080972342e-08,7.7505081770626365,0.15191062147839485
CdCuSb,ICSD,52796,700,6.82485117094634e-05,0.00019854905194411802,0.7230672833164258,1.036057539233967,6.071257393889896,4.551766974254953e-09,0.17500017415061805,0.07460604098911817
CeTe6Tl9,ICSD,427736,700,4.366339861065098e-05,0.00017173490663408226,0.79162179254109,1.137654854867449,1.0407453011194667e-06,9.186484131926929e-09,0.7332462360077469,0.19332991456062132
Co4Sb12Sn,ICSD,87886,700,2.2938504198083688e-05,0.00022491244783485917,1.9799915317333305,1.2945341025989567,1.803252311720862e-10,7.0832424536655425e-09,0.1744080092773849,0.04584595913782141
Cu9Sn4Yb,ICSD,154446,700,3.15641334447628e-05,0.00017575836333706414,0.9352481398356822,1.037509260654614,2.460752219918772e-07,1.0346257886293384e-08,1.2602520660022054,0.24303965213376427
CuTe3Tl4,ICSD,629347,700,0.0002768741266639887,0.00024932210887151023,0.8898564917339385,1.310554455685967,198761.24037510148,6.100678787533938e-09,2.0886851967773645,0.10985961622226888
Ga3NaSe5,ICSD,402880,700,0.00010218228567901837,0.00019082800256962136,0.9792886763039595,1.048777686510193,0.0015426958695577528,4.6398339824145535e-09,3.9026206356672772,0.22715336745490522
Ga7Te10,ICSD,400668,700,3.9410918594361876e-05,0.0002075470044970824,1.5305604702505193,1.1297417951283835,1.909673837765606e-06,8.454955542379076e-09,7.203942692611099,0.06892653100338691
GeHgTe4Tl2,COD,4000659,700,0.00010189216863710673,0.00025103504928140343,1.1542894334604281,1.273467247649044,0.12932416840836078,9.895899646097613e-09,4.663140544573348,0.07418977344917553
PtSn2,COD,9012883,700,6.742395272198595e-05,0.00021966042023858817,1.8041133156576608,1.2861804316956746,1.4518144932616062,5.70909300311286e-09,5.717650453612842,0.05247590088305919
Sb2Zn,COD,9015418,700,3.012049687525615e-05,0.0001991786857159456,1.0613951724484942,1.053511508696664,5.697025523515987e-10,5.2368034591156505e-09,1.2314438826587026,0.06580106622084886
Ag2Se,COD,9000252,1000,4.389588407980721e-05,0.0002364328752669341,0.6750473110219848,1.258626379313113,5.1083914543330856e-09,5.316721506026687e-09,0.19164368449989405,0.12066048040001469
EuIn2Se4,ICSD,631352,1000,4.284370166790867e-05,0.0001543262479160026,1.5223218579382434,1.030408764194088,3.7140117203491047e-06,1.0099380515195194e-08,4.152995859293467,0.21785578310585668
Ga4Ge2Yb,ICSD,423996,1000,5.623784877240378e-05,0.00015879310718916023,0.8962274181152602,1.2217358980617474,1.7193442541701856e-07,1.3928380373369092e-08,0.9868551092769396,0.1732490659119325
In2Ni3Se2,ICSD,640141,1000,5.642923077087544e-05,0.00021412986456686027,2.9038370440542156,1.1665946481492764,0.004844571350818568,5.314149829774155e-09,12.322610210480242,0.15574802884209735
In2Pb4Sb4Se13,COD,4302601,1000,0.00011166950584639964,0.00023585723859965752,2.058391765545465,1.2481006809097792,3.9074637078020333,1.1929020124731046e-08,37.70530882964475,0.14273166859354572
RbTe6,ICSD,74837,1000,2.411351478922323e-05,0.00016435332731053485,1.1074575227194838,1.0620638911177895,1.0399541661389987e-08,1.6191462575938462e-08,1.9229079557536903,0.23888040244321462
