level_0,id,T,formula,database,zT_pred,zT_std,rough_correlation
10425,616936,700,Bi2PbTe4,ICSD,1.1166,0.281415,2.48716
255,1509890,700,Ag3AuTe2,COD,1.1236,0.320811,2.65582
11644,1524480,1000,BrCuSe3,COD,1.19242,0.32993,2.67975
76557,7024693,1000,MnSb11Yb14,COD,0.756364,0.30878,2.71013
557,9001316,700,AgBiTe2,COD,1.18379,0.307524,3.02984
252,1509845,1000,Ag3AsSe3,COD,1.12817,0.327267,3.09999
3791,423785,1000,As4Ga2Sr3,ICSD,0.546707,0.329201,3.10256
555,9011022,700,AgBiSe2,COD,1.24655,0.320281,3.12154
10629,1531626,700,Bi6PbTe10,COD,1.10906,0.295108,3.19193
363,164499,1000,Ag4Nd3Sn4,ICSD,0.587914,0.325822,3.2496
10183,412895,700,Bi14Br16Pd,ICSD,1.27206,0.323481,3.30331
76585,4000662,700,MnSnTe4Tl2,COD,1.28986,0.313369,3.34145
9312,615865,700,BaGa4,ICSD,0.516855,0.300382,3.73191
1711,607997,1000,Al3Ge4Nd2,ICSD,0.561826,0.320997,3.74657
3274,610303,1000,As2Cu,ICSD,1.1213,0.32746,3.82248
10430,58840,700,Bi2Pd5,ICSD,1.18658,0.324697,3.91784
3392,2310650,1000,As2GeZn,COD,1.20089,0.325576,4.02046
3392,2310650,700,As2GeZn,COD,1.16573,0.296254,4.02046
1517,9014095,1000,Al2NaSb,COD,0.506227,0.265877,4.05711
8011,248938,1000,Ba2CeInTe5,ICSD,0.587654,0.288443,4.10903
1712,608006,1000,Al3Ge4Pr2,ICSD,0.533286,0.329913,4.33377
8803,62305,1000,Ba5In2Sb6,ICSD,0.574347,0.268951,4.36124
1206,300193,1000,Al2As3Na2,ICSD,0.568922,0.230608,4.38724
10814,408442,700,BiGa2Se4,ICSD,1.17575,0.27818,4.50901
742,1509358,1000,AgGd,COD,0.519397,0.317909,4.53406
3651,300195,1000,As3Ga2K2,ICSD,0.588137,0.308444,4.5599
1006,1509541,700,AgSe2Tl,COD,1.28439,0.309102,4.64095
440,2105379,1000,Ag8GeSe6,COD,1.13446,0.302224,4.70076
815,151871,700,AgIn5Te8,ICSD,1.19041,0.323971,4.72147
8993,58643,1000,BaCd2,ICSD,0.541111,0.326626,4.90155
740,1509351,700,AgGaSe2,COD,1.11,0.324478,4.93405
11451,151988,700,Br5Sn2Tl,ICSD,1.19239,0.328844,4.94197
814,1509418,700,AgIn5Se8,COD,1.14269,0.301901,5.15687
814,1509418,1000,AgIn5Se8,COD,1.18677,0.320991,5.15687
10651,1527367,700,Bi8Te9,COD,1.065,0.312393,5.27439
10582,236253,700,Bi4SnTe7,ICSD,1.14544,0.298486,5.31981
3890,4329210,1000,As6Sn2Sr5,COD,0.535232,0.288501,5.38122
10534,415130,700,Bi4Br4Ga,ICSD,1.31571,0.282997,5.52798
3872,27,1000,As6Ca5Ga2,ICSD,0.55442,0.296993,5.60576
1030,1509557,700,AgTeTl,COD,1.32432,0.291403,5.61203
4519,1527777,700,AsPb2Pd3,COD,1.31228,0.32356,5.68291
11371,419826,700,Br4GaTl,ICSD,1.22718,0.326599,5.76736
10421,42708,700,Bi2Pb2Te5,ICSD,1.12569,0.279996,5.77527
449,2105383,1000,Ag9GaSe6,COD,1.14303,0.314452,5.86538
103,88168,700,Ag2GeIn2Se6,ICSD,1.14639,0.310058,5.88487
3873,61037,1000,As6Ca5Sn2,ICSD,0.537427,0.284346,6.07407
10420,30372,700,Bi2Pb2Se5,ICSD,1.18829,0.308222,6.12781
1654,606466,1000,Al3Ce2Ge4,ICSD,0.541407,0.322871,6.18544
3191,609931,700,As2Cd,ICSD,1.06204,0.283332,6.19129
3191,609931,1000,As2Cd,ICSD,1.13648,0.27739,6.19129
823,1509408,700,AgInSe2,COD,1.11487,0.319453,6.19692
