,id,T,formula,database,zT_pred,zT_std
92,1509804,1000,Ag2Gd,COD,0.576153,0.32561
103,88168,700,Ag2GeIn2Se6,ICSD,1.14639,0.310058
131,95094,700,Ag2HgSe4Sn,ICSD,1.26782,0.316913
225,9000252,1000,Ag2Se,COD,1.26539,0.318665
242,8103410,700,Ag36Te22Tl7,COD,1.18099,0.30882
252,1509845,1000,Ag3AsSe3,COD,1.12817,0.327267
255,1509890,700,Ag3AuTe2,COD,1.1236,0.320811
363,164499,1000,Ag4Nd3Sn4,ICSD,0.587914,0.325822
369,164498,1000,Ag4Pr3Sn4,ICSD,0.545544,0.322717
419,604758,1000,Ag7AsSe6,ICSD,1.11534,0.296157
440,2105379,1000,Ag8GeSe6,COD,1.13446,0.302224
446,1509989,1000,Ag8Se6Sn,COD,1.13396,0.302041
449,2105383,1000,Ag9GaSe6,COD,1.14303,0.314452
494,1509200,700,AgAsSe2,COD,1.05813,0.305807
494,1509200,1000,AgAsSe2,COD,1.16781,0.316847
555,9011022,700,AgBiSe2,COD,1.24655,0.320281
557,9001316,700,AgBiTe2,COD,1.18379,0.307524
567,8103387,700,AgBr5Pb2,COD,1.24545,0.322583
740,1509351,700,AgGaSe2,COD,1.11,0.324478
742,1509358,1000,AgGd,COD,0.519397,0.317909
743,1509361,1000,AgGdGe,COD,0.527464,0.312303
808,4027807,700,AgISe3,COD,1.03096,0.329246
814,1509418,700,AgIn5Se8,COD,1.14269,0.301901
814,1509418,1000,AgIn5Se8,COD,1.18677,0.320991
815,151871,700,AgIn5Te8,ICSD,1.19041,0.323971
823,1509408,700,AgInSe2,COD,1.11487,0.319453
1003,1509538,700,AgSe,COD,0.88581,0.322684
1003,1509538,1000,AgSe,COD,1.10613,0.301203
1006,1509541,700,AgSe2Tl,COD,1.28439,0.309102
1024,1509558,700,AgTe2Tl,COD,1.26592,0.263862
1025,7209352,700,AgTe2Tl3,COD,1.29517,0.273591
1030,1509557,700,AgTeTl,COD,1.32432,0.291403
1084,58150,700,Al12Re,ICSD,0.516109,0.318028
1206,300193,1000,Al2As3Na2,ICSD,0.568922,0.230608
1479,52627,1000,Al2K2Sb3,ICSD,0.576399,0.223473
1517,9014095,1000,Al2NaSb,COD,0.506227,0.265877
1654,606466,1000,Al3Ce2Ge4,ICSD,0.541407,0.322871
1711,607997,1000,Al3Ge4Nd2,ICSD,0.561826,0.320997
1712,608006,1000,Al3Ge4Pr2,ICSD,0.533286,0.329913
2196,402309,1000,AlAs4Ca3Na3,ICSD,0.636001,0.232039
2745,411171,1000,AlKTe2,ICSD,0.527238,0.305765
3064,610003,700,As12CeFe4,ICSD,0.74899,0.21344
3064,610003,1000,As12CeFe4,ICSD,0.898893,0.30103
3066,610013,700,As12CeRu4,ICSD,0.777788,0.307881
3073,610521,700,As12Fe4Pr,ICSD,0.744935,0.226365
3073,610521,1000,As12Fe4Pr,ICSD,0.911371,0.312812
3077,610778,700,As12LaRu4,ICSD,0.792121,0.300693
