T,formula,database,id,rho_pred,seebeck_pred,kappa_pred,zT_pred,zT_std
700,As2Cd3,COD,4337945,,,,1.07538,0.194356
700,As2CdGe,ICSD,16736,,,,1.187,0.23769
700,As2CdSn,ICSD,22182,,,,1.1859,0.240707
700,As2SnZn,COD,2310651,,,,1.18969,0.237219
700,As2Zn3,ICSD,87576,,,,1.04926,0.247053
700,As4Cd2Ge,ICSD,42132,,,,1.15745,0.236548
700,AsCd,ICSD,432,,,,1.09794,0.207369
700,CdTe2Tl,ICSD,620548,,,,1.26131,0.24767
700,Co4Sb12Sn,ICSD,87886,,,,1.27702,0.212866
700,Ga2Te3,ICSD,657608,,,,1.17293,0.225387
700,Ga2Te4Zn,COD,5910274,,,,1.18265,0.236649
700,Ga7Te10,ICSD,400668,,,,1.17293,0.225387
700,GeHgTe4Tl2,COD,4000659,,,,1.31096,0.228026
700,HgSnTe4Tl2,COD,4000660,,,,1.30173,0.246667
700,In2Sb6Zn9,COD,4302480,,,,1.14948,0.223571
700,Sb10Zn13,COD,4113278,,,,1.0864,0.118244
700,Sb2SnZn,ICSD,651588,,,,1.20083,0.240794
700,Sb2Zn,COD,9015418,,,,1.0785,0.214913
700,Sb5Zn6,COD,1524598,,,,1.07596,0.148221
700,Sb65Zn84,ICSD,418213,,,,1.0864,0.118244
700,SbZn,COD,9008882,,,,1.09302,0.165969
700,Te3Tl2,ICSD,410895,,,,1.20887,0.237343
1000,Sb10Zn13,COD,4113278,,,,1.14659,0.232633
1000,Sb2Zn,COD,9015418,,,,1.15179,0.247865
1000,Sb5Zn6,COD,1524598,,,,1.13533,0.228545
1000,Sb65Zn84,ICSD,418213,,,,1.14659,0.232633
1000,SbZn,COD,9008882,,,,1.14476,0.237955
